,Date
30,2011-10-18
31,2011-10-19
38,2011-10-28
39,2011-10-31
40,2011-11-01
41,2011-11-02
178,2012-05-21
179,2012-05-22
180,2012-05-23
1088,2016-01-27
1089,2016-01-28
1090,2016-01-29
1091,2016-02-01
1092,2016-02-02
1093,2016-02-03
1094,2016-02-04
1095,2016-02-05
1096,2016-02-11
1097,2016-02-12
1098,2016-02-15
1099,2016-02-16
1100,2016-02-17
1101,2016-02-18
1102,2016-02-19
1103,2016-02-22
1104,2016-02-23
1105,2016-02-24
1106,2016-02-25
1107,2016-02-26
1108,2016-02-29
1109,2016-03-02
1110,2016-03-03
1111,2016-03-04
1112,2016-03-07
1113,2016-03-08
1114,2016-03-09
1115,2016-03-10
1116,2016-03-11
1117,2016-03-14
1118,2016-03-15
1119,2016-03-16
1120,2016-03-17
1121,2016-03-18
1122,2016-03-21
1123,2016-03-22
1124,2016-03-23
1125,2016-03-24
1126,2016-03-25
1127,2016-03-28
1128,2016-03-29
1129,2016-03-30
1130,2016-03-31
1131,2016-04-01
1132,2016-04-04
1133,2016-04-05
1134,2016-04-06
1135,2016-04-07
1136,2016-04-08
1137,2016-04-11
1138,2016-04-12
1139,2016-04-14
1140,2016-04-15
1141,2016-04-18
1142,2016-04-19
1143,2016-04-20
1144,2016-04-21
1145,2016-04-22
1146,2016-04-25
1147,2016-04-26
1148,2016-04-27
1149,2016-04-28
1150,2016-04-29
1151,2016-05-02
1152,2016-05-03
1203,2016-07-18
1204,2016-07-19
1205,2016-07-20
1206,2016-07-21
1207,2016-07-22
1208,2016-07-25
1209,2016-07-26
1210,2016-07-27
1211,2016-07-28
1212,2016-07-29
1213,2016-08-01
1214,2016-08-02
1215,2016-08-03
1216,2016-08-04
1217,2016-08-05
1218,2016-08-08
1219,2016-08-09
1220,2016-08-10
1221,2016-08-11
1222,2016-08-12
1223,2016-08-16
1224,2016-08-17
1225,2016-08-18
1406,2017-05-16
1454,2017-07-24
1455,2017-07-25
1456,2017-07-26
1457,2017-07-27
1458,2017-07-28
1459,2017-07-31
1460,2017-08-01
1461,2017-08-02
1462,2017-08-03
1486,2017-09-07
1487,2017-09-08
1488,2017-09-11
1489,2017-09-12
1565,2018-01-09
1566,2018-01-10
1567,2018-01-11
1568,2018-01-12
1569,2018-01-15
1570,2018-01-16
1571,2018-01-17
1624,2018-04-05
1625,2018-04-06
1626,2018-04-09
1627,2018-04-10
1628,2018-04-11
1763,2018-11-01
1764,2018-11-02
1765,2018-11-05
1766,2018-11-06
1767,2018-11-07
1768,2018-11-08
2102,2020-03-18
2103,2020-03-19
2104,2020-03-20
2105,2020-03-23
2106,2020-03-24
2107,2020-03-25
2108,2020-03-26
2109,2020-03-27
2110,2020-03-30
2111,2020-03-31
2112,2020-04-01
2113,2020-04-02
2114,2020-04-03
2115,2020-04-06
2116,2020-04-07
2117,2020-04-08
2118,2020-04-09
2119,2020-04-10
2120,2020-04-13
2121,2020-04-14
2122,2020-04-16
2123,2020-04-17
2124,2020-04-20
2125,2020-04-21
2126,2020-04-22
2127,2020-04-23
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2133,2020-05-06
2134,2020-05-07
2135,2020-05-08
2136,2020-05-11
2137,2020-05-12
2138,2020-05-13
2139,2020-05-14
2150,2020-05-29
2151,2020-06-01
2152,2020-06-02
2153,2020-06-03
2154,2020-06-04
2155,2020-06-05
2156,2020-06-08
2157,2020-06-09
2158,2020-06-10
2264,2020-11-12
2265,2020-11-13
2267,2020-11-17
2268,2020-11-18
2269,2020-11-19
2345,2021-03-15
2346,2021-03-16
2347,2021-03-17
