,Date
31,2011-10-19
32,2011-10-20
33,2011-10-21
59,2011-11-28
63,2011-12-02
64,2011-12-05
65,2011-12-06
66,2011-12-07
67,2011-12-08
68,2011-12-09
69,2011-12-12
70,2011-12-13
71,2011-12-14
72,2011-12-15
73,2011-12-16
144,2012-03-30
145,2012-04-02
146,2012-04-03
147,2012-04-04
148,2012-04-05
149,2012-04-06
150,2012-04-09
151,2012-04-10
152,2012-04-12
153,2012-04-13
721,2014-07-31
722,2014-08-01
723,2014-08-04
724,2014-08-05
727,2014-08-08
807,2014-12-08
808,2014-12-09
809,2014-12-10
810,2014-12-11
811,2014-12-12
812,2014-12-15
813,2014-12-16
814,2014-12-17
882,2015-03-31
883,2015-04-01
884,2015-04-02
885,2015-04-03
886,2015-04-06
887,2015-04-07
888,2015-04-08
889,2015-04-09
890,2015-04-10
891,2015-04-13
892,2015-04-14
902,2015-04-28
965,2015-07-29
966,2015-07-30
967,2015-07-31
968,2015-08-03
969,2015-08-04
970,2015-08-05
971,2015-08-06
972,2015-08-07
973,2015-08-10
974,2015-08-11
975,2015-08-12
976,2015-08-13
977,2015-08-17
1025,2015-10-27
1026,2015-10-28
1027,2015-10-29
1089,2016-01-28
1146,2016-04-25
1147,2016-04-26
1148,2016-04-27
1149,2016-04-28
1150,2016-04-29
1151,2016-05-02
1152,2016-05-03
1153,2016-05-04
1154,2016-05-09
1155,2016-05-10
1156,2016-05-11
1157,2016-05-12
1158,2016-05-13
1159,2016-05-16
1160,2016-05-17
1161,2016-05-18
1162,2016-05-19
1163,2016-05-20
1193,2016-07-04
1194,2016-07-05
1195,2016-07-06
1196,2016-07-07
1254,2016-10-04
1268,2016-10-24
1270,2016-10-26
1271,2016-10-27
1272,2016-10-28
1283,2016-11-14
1284,2016-11-15
1285,2016-11-16
1286,2016-11-17
1287,2016-11-18
1288,2016-11-21
1289,2016-11-22
1290,2016-11-23
1420,2017-06-05
1421,2017-06-07
1427,2017-06-15
1428,2017-06-16
1429,2017-06-19
1430,2017-06-20
1431,2017-06-21
1432,2017-06-22
1433,2017-06-23
1491,2017-09-14
1492,2017-09-15
1493,2017-09-18
1494,2017-09-19
1495,2017-09-20
1496,2017-09-21
1525,2017-11-09
1526,2017-11-10
1527,2017-11-13
1528,2017-11-14
1529,2017-11-15
1530,2017-11-16
1531,2017-11-17
1532,2017-11-20
1533,2017-11-21
1534,2017-11-22
1535,2017-11-23
1536,2017-11-24
1537,2017-11-27
1538,2017-11-28
1539,2017-11-29
1540,2017-11-30
1541,2017-12-01
1542,2017-12-04
1543,2017-12-05
1544,2017-12-06
1564,2018-01-08
1565,2018-01-09
1566,2018-01-10
1567,2018-01-11
1568,2018-01-12
1569,2018-01-15
1570,2018-01-16
1571,2018-01-17
1572,2018-01-18
1573,2018-01-19
1574,2018-01-22
1589,2018-02-12
1849,2019-03-12
2105,2020-03-23
2106,2020-03-24
2107,2020-03-25
2108,2020-03-26
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2133,2020-05-06
2149,2020-05-28
2154,2020-06-04
2155,2020-06-05
2156,2020-06-08
2157,2020-06-09
2204,2020-08-13
2205,2020-08-14
