,Date
113,2012-02-15
114,2012-02-16
116,2012-02-20
117,2012-02-21
124,2012-03-02
125,2012-03-05
126,2012-03-06
127,2012-03-07
128,2012-03-08
129,2012-03-09
130,2012-03-12
131,2012-03-13
132,2012-03-14
149,2012-04-06
150,2012-04-09
151,2012-04-10
152,2012-04-12
153,2012-04-13
424,2013-05-16
425,2013-05-20
426,2013-05-21
427,2013-05-22
428,2013-05-23
429,2013-05-24
430,2013-05-27
528,2013-10-21
529,2013-10-22
530,2013-10-23
708,2014-07-14
709,2014-07-15
710,2014-07-16
711,2014-07-17
712,2014-07-18
768,2014-10-14
769,2014-10-15
770,2014-10-16
771,2014-10-17
772,2014-10-20
773,2014-10-21
774,2014-10-22
775,2014-10-23
776,2014-10-24
777,2014-10-27
778,2014-10-28
779,2014-10-29
780,2014-10-30
781,2014-10-31
782,2014-11-03
783,2014-11-04
784,2014-11-05
785,2014-11-06
786,2014-11-07
787,2014-11-10
788,2014-11-11
1428,2017-06-16
1429,2017-06-19
1788,2018-12-06
1789,2018-12-07
1790,2018-12-10
1791,2018-12-11
1792,2018-12-12
1793,2018-12-13
1794,2018-12-14
1795,2018-12-17
1796,2018-12-18
1797,2018-12-19
1798,2018-12-20
1799,2018-12-21
1800,2018-12-24
1801,2018-12-26
1802,2018-12-27
1803,2018-12-28
1804,2019-01-02
1805,2019-01-03
2115,2020-04-06
2116,2020-04-07
2117,2020-04-08
2118,2020-04-09
2119,2020-04-10
2120,2020-04-13
2121,2020-04-14
2122,2020-04-16
2123,2020-04-17
2124,2020-04-20
2125,2020-04-21
2126,2020-04-22
2127,2020-04-23
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2133,2020-05-06
2134,2020-05-07
2135,2020-05-08
2136,2020-05-11
2137,2020-05-12
2138,2020-05-13
2139,2020-05-14
2140,2020-05-15
2141,2020-05-18
2142,2020-05-19
2143,2020-05-20
2144,2020-05-21
2145,2020-05-22
2146,2020-05-25
2147,2020-05-26
2148,2020-05-27
2149,2020-05-28
2150,2020-05-29
2151,2020-06-01
2152,2020-06-02
2153,2020-06-03
2154,2020-06-04
2155,2020-06-05
2156,2020-06-08
2157,2020-06-09
2158,2020-06-10
2159,2020-06-11
2160,2020-06-12
2161,2020-06-15
2162,2020-06-16
2163,2020-06-17
2164,2020-06-18
2165,2020-06-19
2166,2020-06-22
2189,2020-07-23
2190,2020-07-24
2191,2020-07-27
2192,2020-07-28
2193,2020-07-29
2194,2020-07-30
2195,2020-07-31
2196,2020-08-03
2197,2020-08-04
2198,2020-08-05
2199,2020-08-06
2200,2020-08-07
2201,2020-08-10
2202,2020-08-11
2203,2020-08-12
2204,2020-08-13
2205,2020-08-14
2206,2020-08-18
2207,2020-08-19
2208,2020-08-20
2209,2020-08-21
2212,2020-08-26
2213,2020-08-27
2214,2020-08-28
2218,2020-09-03
2219,2020-09-04
2220,2020-09-07
2221,2020-09-08
2222,2020-09-09
2223,2020-09-10
2224,2020-09-11
2225,2020-09-14
2226,2020-09-15
2227,2020-09-16
2228,2020-09-17
2229,2020-09-18
2230,2020-09-21
2231,2020-09-22
2232,2020-09-23
2236,2020-09-29
2237,2020-10-05
2238,2020-10-06
2239,2020-10-07
2240,2020-10-08
2241,2020-10-12
2242,2020-10-13
2243,2020-10-14
2244,2020-10-15
2245,2020-10-16
2246,2020-10-19
2247,2020-10-20
2248,2020-10-21
2249,2020-10-22
2250,2020-10-23
2251,2020-10-26
2252,2020-10-27
2253,2020-10-28
2254,2020-10-29
2255,2020-10-30
2256,2020-11-02
2257,2020-11-03
2258,2020-11-04
2259,2020-11-05
2260,2020-11-06
2261,2020-11-09
2262,2020-11-10
2263,2020-11-11
2264,2020-11-12
2265,2020-11-13
2266,2020-11-16
2267,2020-11-17
2268,2020-11-18
2269,2020-11-19
2270,2020-11-20
2271,2020-11-23
2272,2020-11-24
2273,2020-11-25
2274,2020-11-26
2275,2020-11-27
2276,2020-11-30
2277,2020-12-01
2278,2020-12-02
2279,2020-12-03
2280,2020-12-04
2281,2020-12-07
2282,2020-12-08
2283,2020-12-09
2284,2020-12-10
2383,2021-05-07
2384,2021-05-10
2385,2021-05-11
2386,2021-05-12
2387,2021-05-13
2388,2021-05-14
