,Date
106,2012-02-06
107,2012-02-07
238,2012-08-16
239,2012-08-17
289,2012-10-30
290,2012-10-31
291,2012-11-01
292,2012-11-02
293,2012-11-05
294,2012-11-06
295,2012-11-07
404,2013-04-17
405,2013-04-18
406,2013-04-19
407,2013-04-22
410,2013-04-25
412,2013-04-29
413,2013-04-30
414,2013-05-02
415,2013-05-03
755,2014-09-23
756,2014-09-24
757,2014-09-25
758,2014-09-26
1410,2017-05-22
1411,2017-05-23
1412,2017-05-24
1413,2017-05-25
1414,2017-05-26
1415,2017-05-29
1416,2017-05-30
1417,2017-05-31
1418,2017-06-01
1419,2017-06-02
1521,2017-11-03
1522,2017-11-06
1523,2017-11-07
1793,2018-12-13
1794,2018-12-14
1795,2018-12-17
1796,2018-12-18
1797,2018-12-19
1798,2018-12-20
1799,2018-12-21
1800,2018-12-24
1801,2018-12-26
1802,2018-12-27
1803,2018-12-28
1804,2019-01-02
1807,2019-01-07
1808,2019-01-08
1809,2019-01-09
1810,2019-01-10
1825,2019-01-31
1826,2019-02-01
1827,2019-02-07
2105,2020-03-23
2106,2020-03-24
2107,2020-03-25
2108,2020-03-26
2109,2020-03-27
2110,2020-03-30
2111,2020-03-31
2112,2020-04-01
2113,2020-04-02
2114,2020-04-03
2115,2020-04-06
2116,2020-04-07
2117,2020-04-08
2118,2020-04-09
2119,2020-04-10
2120,2020-04-13
2121,2020-04-14
2122,2020-04-16
2123,2020-04-17
2124,2020-04-20
2125,2020-04-21
2126,2020-04-22
2127,2020-04-23
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2133,2020-05-06
2134,2020-05-07
2135,2020-05-08
2136,2020-05-11
2137,2020-05-12
2138,2020-05-13
2139,2020-05-14
2140,2020-05-15
2141,2020-05-18
2142,2020-05-19
2143,2020-05-20
2144,2020-05-21
2145,2020-05-22
2146,2020-05-25
2147,2020-05-26
2148,2020-05-27
2149,2020-05-28
2150,2020-05-29
2151,2020-06-01
2152,2020-06-02
2153,2020-06-03
2154,2020-06-04
2155,2020-06-05
2156,2020-06-08
2157,2020-06-09
2158,2020-06-10
2159,2020-06-11
2160,2020-06-12
2161,2020-06-15
2187,2020-07-21
2188,2020-07-22
2203,2020-08-12
2300,2021-01-06
2301,2021-01-07
2302,2021-01-08
2303,2021-01-11
2304,2021-01-12
2305,2021-01-13
2306,2021-01-14
2307,2021-01-15
2308,2021-01-18
2309,2021-01-19
2310,2021-01-20
2311,2021-01-21
2312,2021-01-22
2313,2021-01-25
2314,2021-01-26
2315,2021-01-27
2316,2021-01-28
2317,2021-01-29
2318,2021-02-01
2319,2021-02-02
2320,2021-02-03
2321,2021-02-04
2322,2021-02-05
2323,2021-02-08
2343,2021-03-11
2344,2021-03-12
