,Date
32,2011-10-20
124,2012-03-02
125,2012-03-05
126,2012-03-06
130,2012-03-12
131,2012-03-13
132,2012-03-14
133,2012-03-15
134,2012-03-16
135,2012-03-19
136,2012-03-20
137,2012-03-21
139,2012-03-23
140,2012-03-26
141,2012-03-27
145,2012-04-02
624,2014-03-11
625,2014-03-12
626,2014-03-13
627,2014-03-14
628,2014-03-17
629,2014-03-18
630,2014-03-19
631,2014-03-20
632,2014-03-21
633,2014-03-24
634,2014-03-25
635,2014-03-26
636,2014-03-27
656,2014-04-24
657,2014-04-25
658,2014-04-28
667,2014-05-14
668,2014-05-15
669,2014-05-16
670,2014-05-19
671,2014-05-20
672,2014-05-21
673,2014-05-22
674,2014-05-23
675,2014-05-26
677,2014-05-28
682,2014-06-05
711,2014-07-17
712,2014-07-18
713,2014-07-21
714,2014-07-22
715,2014-07-23
716,2014-07-24
717,2014-07-25
718,2014-07-28
719,2014-07-29
720,2014-07-30
721,2014-07-31
722,2014-08-01
723,2014-08-04
724,2014-08-05
725,2014-08-06
726,2014-08-07
727,2014-08-08
728,2014-08-11
729,2014-08-12
730,2014-08-13
731,2014-08-14
732,2014-08-18
733,2014-08-19
734,2014-08-20
735,2014-08-21
736,2014-08-22
737,2014-08-25
738,2014-08-26
739,2014-08-27
740,2014-08-28
741,2014-08-29
774,2014-10-22
775,2014-10-23
776,2014-10-24
777,2014-10-27
778,2014-10-28
779,2014-10-29
780,2014-10-30
781,2014-10-31
782,2014-11-03
783,2014-11-04
784,2014-11-05
785,2014-11-06
786,2014-11-07
787,2014-11-10
1514,2017-10-25
1515,2017-10-26
1516,2017-10-27
1517,2017-10-30
1518,2017-10-31
1519,2017-11-01
1520,2017-11-02
1521,2017-11-03
1522,2017-11-06
1523,2017-11-07
1524,2017-11-08
1525,2017-11-09
1526,2017-11-10
1527,2017-11-13
1528,2017-11-14
2101,2020-03-17
2102,2020-03-18
2103,2020-03-19
2104,2020-03-20
2105,2020-03-23
2106,2020-03-24
2107,2020-03-25
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2133,2020-05-06
2134,2020-05-07
2135,2020-05-08
2136,2020-05-11
2137,2020-05-12
2138,2020-05-13
2139,2020-05-14
2140,2020-05-15
2141,2020-05-18
2142,2020-05-19
2203,2020-08-12
2204,2020-08-13
2205,2020-08-14
2206,2020-08-18
2207,2020-08-19
2208,2020-08-20
2413,2021-06-21
2414,2021-06-22
2415,2021-06-23
2416,2021-06-24
2417,2021-06-25
2418,2021-06-28
2419,2021-06-29
2420,2021-06-30
2421,2021-07-01
2422,2021-07-02
2439,2021-07-27
2440,2021-07-28
2441,2021-07-29
2442,2021-07-30
2443,2021-08-02
2444,2021-08-03
2445,2021-08-04
2446,2021-08-05
2447,2021-08-06
2448,2021-08-09
2449,2021-08-10
2450,2021-08-11
2451,2021-08-12
2452,2021-08-13
2453,2021-08-17
