,Date
88,2012-01-09
89,2012-01-10
90,2012-01-11
91,2012-01-12
92,2012-01-13
93,2012-01-16
94,2012-01-17
95,2012-01-18
214,2012-07-12
215,2012-07-13
216,2012-07-16
217,2012-07-17
218,2012-07-18
219,2012-07-19
295,2012-11-07
296,2012-11-08
303,2012-11-19
304,2012-11-20
305,2012-11-21
332,2013-01-03
417,2013-05-07
418,2013-05-08
419,2013-05-09
420,2013-05-10
421,2013-05-13
422,2013-05-14
423,2013-05-15
424,2013-05-16
425,2013-05-20
426,2013-05-21
427,2013-05-22
428,2013-05-23
429,2013-05-24
430,2013-05-27
450,2013-06-25
451,2013-06-26
452,2013-06-27
453,2013-06-28
454,2013-07-01
455,2013-07-02
456,2013-07-03
457,2013-07-04
542,2013-11-08
543,2013-11-11
544,2013-11-12
545,2013-11-13
546,2013-11-14
562,2013-12-06
563,2013-12-09
564,2013-12-10
565,2013-12-11
647,2014-04-11
648,2014-04-14
649,2014-04-15
650,2014-04-16
651,2014-04-17
723,2014-08-04
724,2014-08-05
725,2014-08-06
727,2014-08-08
728,2014-08-11
729,2014-08-12
730,2014-08-13
731,2014-08-14
732,2014-08-18
733,2014-08-19
734,2014-08-20
735,2014-08-21
736,2014-08-22
772,2014-10-20
773,2014-10-21
774,2014-10-22
775,2014-10-23
776,2014-10-24
777,2014-10-27
778,2014-10-28
779,2014-10-29
1484,2017-09-05
1485,2017-09-06
1486,2017-09-07
1487,2017-09-08
1488,2017-09-11
2110,2020-03-30
2111,2020-03-31
2112,2020-04-01
2113,2020-04-02
2114,2020-04-03
2115,2020-04-06
2116,2020-04-07
2117,2020-04-08
2118,2020-04-09
2119,2020-04-10
2120,2020-04-13
2121,2020-04-14
2122,2020-04-16
2123,2020-04-17
2124,2020-04-20
2125,2020-04-21
2126,2020-04-22
2127,2020-04-23
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2133,2020-05-06
2134,2020-05-07
2135,2020-05-08
2136,2020-05-11
2137,2020-05-12
2138,2020-05-13
2139,2020-05-14
2140,2020-05-15
2141,2020-05-18
2142,2020-05-19
2143,2020-05-20
2144,2020-05-21
2145,2020-05-22
2146,2020-05-25
2147,2020-05-26
2148,2020-05-27
2149,2020-05-28
2150,2020-05-29
2151,2020-06-01
2152,2020-06-02
2153,2020-06-03
2154,2020-06-04
2155,2020-06-05
2156,2020-06-08
2204,2020-08-13
2205,2020-08-14
2206,2020-08-18
2243,2020-10-14
2244,2020-10-15
2245,2020-10-16
2246,2020-10-19
2247,2020-10-20
2248,2020-10-21
2249,2020-10-22
2250,2020-10-23
2251,2020-10-26
2252,2020-10-27
2253,2020-10-28
2254,2020-10-29
2255,2020-10-30
2256,2020-11-02
2257,2020-11-03
2258,2020-11-04
2259,2020-11-05
2260,2020-11-06
2261,2020-11-09
2262,2020-11-10
2263,2020-11-11
2264,2020-11-12
2265,2020-11-13
2266,2020-11-16
2267,2020-11-17
2268,2020-11-18
2269,2020-11-19
2270,2020-11-20
2271,2020-11-23
2272,2020-11-24
2273,2020-11-25
2274,2020-11-26
2275,2020-11-27
2276,2020-11-30
2277,2020-12-01
2278,2020-12-02
2279,2020-12-03
2280,2020-12-04
2281,2020-12-07
2282,2020-12-08
2283,2020-12-09
2284,2020-12-10
2285,2020-12-11
2286,2020-12-14
2287,2020-12-15
2288,2020-12-16
2289,2020-12-17
2290,2020-12-18
2291,2020-12-21
2292,2020-12-22
2293,2020-12-23
2294,2020-12-24
2295,2020-12-28
2328,2021-02-17
2329,2021-02-18
2330,2021-02-19
2331,2021-02-22
2332,2021-02-23
2333,2021-02-24
2334,2021-02-25
2335,2021-02-26
2336,2021-03-02
2391,2021-05-20
2392,2021-05-21
2394,2021-05-25
2395,2021-05-26
2396,2021-05-27
2397,2021-05-28
2398,2021-05-31
2399,2021-06-01
2400,2021-06-02
2401,2021-06-03
2402,2021-06-04
2403,2021-06-07
