,Date
784,2014-11-05
785,2014-11-06
786,2014-11-07
787,2014-11-10
788,2014-11-11
789,2014-11-12
790,2014-11-13
791,2014-11-14
792,2014-11-17
793,2014-11-18
795,2014-11-20
1491,2017-09-14
1492,2017-09-15
1493,2017-09-18
2056,2020-01-10
2057,2020-01-13
2058,2020-01-14
2059,2020-01-15
2060,2020-01-16
2061,2020-01-17
2062,2020-01-20
2063,2020-01-21
2066,2020-01-28
2103,2020-03-19
2104,2020-03-20
2105,2020-03-23
2106,2020-03-24
2139,2020-05-14
2140,2020-05-15
2141,2020-05-18
2142,2020-05-19
2143,2020-05-20
2144,2020-05-21
2145,2020-05-22
2146,2020-05-25
2147,2020-05-26
2148,2020-05-27
2149,2020-05-28
2150,2020-05-29
2151,2020-06-01
2152,2020-06-02
2153,2020-06-03
2154,2020-06-04
2155,2020-06-05
2156,2020-06-08
2157,2020-06-09
2159,2020-06-11
2160,2020-06-12
2161,2020-06-15
2163,2020-06-17
2164,2020-06-18
2165,2020-06-19
2166,2020-06-22
2167,2020-06-23
2168,2020-06-24
2169,2020-06-25
2170,2020-06-26
2171,2020-06-29
2172,2020-06-30
2173,2020-07-01
2174,2020-07-02
2175,2020-07-03
2176,2020-07-06
2177,2020-07-07
2178,2020-07-08
2179,2020-07-09
2180,2020-07-10
2181,2020-07-13
2182,2020-07-14
2183,2020-07-15
2190,2020-07-24
2191,2020-07-27
2192,2020-07-28
2193,2020-07-29
2194,2020-07-30
2195,2020-07-31
2196,2020-08-03
2197,2020-08-04
2299,2021-01-05
2300,2021-01-06
2301,2021-01-07
2302,2021-01-08
2303,2021-01-11
2304,2021-01-12
2305,2021-01-13
2306,2021-01-14
2314,2021-01-26
2357,2021-03-31
2358,2021-04-01
2462,2021-08-30
2463,2021-08-31
2464,2021-09-01
2465,2021-09-02
2466,2021-09-03
2467,2021-09-06
2468,2021-09-07
2469,2021-09-08
2470,2021-09-09
2471,2021-09-10
2472,2021-09-13
2473,2021-09-14
2474,2021-09-15
2475,2021-09-16
2476,2021-09-17
2477,2021-09-23
2478,2021-09-24
2479,2021-09-27
2480,2021-09-28
2481,2021-09-29
2482,2021-09-30
