,Date
281,2012-10-18
789,2014-11-12
790,2014-11-13
793,2014-11-18
898,2015-04-22
910,2015-05-12
911,2015-05-13
912,2015-05-14
913,2015-05-15
914,2015-05-18
984,2015-08-26
1079,2016-01-14
1080,2016-01-15
1081,2016-01-18
1082,2016-01-19
1083,2016-01-20
1084,2016-01-21
1085,2016-01-22
1086,2016-01-25
1099,2016-02-16
1100,2016-02-17
1101,2016-02-18
1102,2016-02-19
1103,2016-02-22
1979,2019-09-18
1980,2019-09-19
1981,2019-09-20
1982,2019-09-23
1983,2019-09-24
1984,2019-09-25
1985,2019-09-26
1986,2019-09-27
1987,2019-09-30
1988,2019-10-01
1989,2019-10-02
1990,2019-10-04
1991,2019-10-07
1992,2019-10-08
1993,2019-10-10
1994,2019-10-11
1995,2019-10-14
1996,2019-10-15
1997,2019-10-16
1998,2019-10-17
1999,2019-10-18
2000,2019-10-21
2001,2019-10-22
2002,2019-10-23
2003,2019-10-24
2004,2019-10-25
2005,2019-10-28
2006,2019-10-29
2007,2019-10-30
2008,2019-10-31
2009,2019-11-01
2010,2019-11-04
2011,2019-11-05
2012,2019-11-06
2013,2019-11-07
2014,2019-11-08
2015,2019-11-11
2016,2019-11-12
2017,2019-11-13
2018,2019-11-14
2019,2019-11-15
2020,2019-11-18
2021,2019-11-19
2022,2019-11-20
2023,2019-11-21
2024,2019-11-22
2025,2019-11-25
2026,2019-11-26
2027,2019-11-27
2028,2019-11-28
2029,2019-11-29
2030,2019-12-02
2031,2019-12-03
2032,2019-12-04
2062,2020-01-20
2063,2020-01-21
2064,2020-01-22
2065,2020-01-23
2066,2020-01-28
2077,2020-02-12
2078,2020-02-13
2079,2020-02-14
2080,2020-02-17
2081,2020-02-18
2082,2020-02-19
2083,2020-02-20
2084,2020-02-21
2085,2020-02-24
2086,2020-02-25
2113,2020-04-02
2114,2020-04-03
2115,2020-04-06
2116,2020-04-07
2117,2020-04-08
2118,2020-04-09
2119,2020-04-10
2120,2020-04-13
2121,2020-04-14
2122,2020-04-16
2123,2020-04-17
2124,2020-04-20
2125,2020-04-21
2126,2020-04-22
2127,2020-04-23
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2133,2020-05-06
2134,2020-05-07
2135,2020-05-08
2136,2020-05-11
2137,2020-05-12
2138,2020-05-13
2139,2020-05-14
2140,2020-05-15
2141,2020-05-18
2142,2020-05-19
2143,2020-05-20
2144,2020-05-21
2145,2020-05-22
2146,2020-05-25
2147,2020-05-26
2148,2020-05-27
2178,2020-07-08
2179,2020-07-09
2180,2020-07-10
2181,2020-07-13
2182,2020-07-14
2183,2020-07-15
2184,2020-07-16
2185,2020-07-17
2186,2020-07-20
2198,2020-08-05
2199,2020-08-06
2200,2020-08-07
2201,2020-08-10
2202,2020-08-11
2203,2020-08-12
2204,2020-08-13
2303,2021-01-11
2304,2021-01-12
2305,2021-01-13
2306,2021-01-14
2307,2021-01-15
2308,2021-01-18
2309,2021-01-19
2310,2021-01-20
2311,2021-01-21
2312,2021-01-22
2313,2021-01-25
2314,2021-01-26
2315,2021-01-27
2316,2021-01-28
2317,2021-01-29
2387,2021-05-13
2388,2021-05-14
2389,2021-05-17
2390,2021-05-18
2391,2021-05-20
2396,2021-05-27
2397,2021-05-28
2398,2021-05-31
2399,2021-06-01
2400,2021-06-02
2401,2021-06-03
2402,2021-06-04
