,Date
110,2012-02-10
2078,2020-02-13
2079,2020-02-14
2080,2020-02-17
2081,2020-02-18
2103,2020-03-19
2104,2020-03-20
2105,2020-03-23
2106,2020-03-24
2107,2020-03-25
2108,2020-03-26
2109,2020-03-27
2160,2020-06-12
2161,2020-06-15
2163,2020-06-17
2164,2020-06-18
2165,2020-06-19
2166,2020-06-22
2167,2020-06-23
2168,2020-06-24
2169,2020-06-25
2170,2020-06-26
2171,2020-06-29
2197,2020-08-04
2198,2020-08-05
2199,2020-08-06
2200,2020-08-07
2201,2020-08-10
2202,2020-08-11
2203,2020-08-12
2204,2020-08-13
2205,2020-08-14
2206,2020-08-18
2207,2020-08-19
2208,2020-08-20
2209,2020-08-21
2210,2020-08-24
2211,2020-08-25
2212,2020-08-26
2213,2020-08-27
2214,2020-08-28
2215,2020-08-31
2216,2020-09-01
2217,2020-09-02
2218,2020-09-03
2219,2020-09-04
2220,2020-09-07
2231,2020-09-22
2232,2020-09-23
2233,2020-09-24
2234,2020-09-25
2235,2020-09-28
2236,2020-09-29
2262,2020-11-10
2263,2020-11-11
2272,2020-11-24
2273,2020-11-25
2274,2020-11-26
2275,2020-11-27
2276,2020-11-30
2277,2020-12-01
2278,2020-12-02
2279,2020-12-03
2280,2020-12-04
2281,2020-12-07
2282,2020-12-08
2283,2020-12-09
2284,2020-12-10
2285,2020-12-11
2286,2020-12-14
2300,2021-01-06
2301,2021-01-07
2302,2021-01-08
2303,2021-01-11
2304,2021-01-12
2305,2021-01-13
2306,2021-01-14
2307,2021-01-15
2308,2021-01-18
2309,2021-01-19
2310,2021-01-20
2311,2021-01-21
2312,2021-01-22
2313,2021-01-25
2314,2021-01-26
2315,2021-01-27
2316,2021-01-28
2317,2021-01-29
2318,2021-02-01
2319,2021-02-02
2320,2021-02-03
2321,2021-02-04
2323,2021-02-08
2333,2021-02-24
2334,2021-02-25
2335,2021-02-26
2336,2021-03-02
2337,2021-03-03
2338,2021-03-04
2339,2021-03-05
2340,2021-03-08
2342,2021-03-10
2350,2021-03-22
2351,2021-03-23
2352,2021-03-24
2353,2021-03-25
2354,2021-03-26
2355,2021-03-29
2356,2021-03-30
2357,2021-03-31
2358,2021-04-01
2369,2021-04-16
2370,2021-04-19
2371,2021-04-20
2372,2021-04-21
2379,2021-04-30
2380,2021-05-03
2381,2021-05-04
2382,2021-05-06
2383,2021-05-07
2384,2021-05-10
2385,2021-05-11
2401,2021-06-03
2402,2021-06-04
2403,2021-06-07
2463,2021-08-31
2464,2021-09-01
2465,2021-09-02
2466,2021-09-03
2467,2021-09-06
2468,2021-09-07
2469,2021-09-08
2470,2021-09-09
2471,2021-09-10
2472,2021-09-13
2473,2021-09-14
2474,2021-09-15
2475,2021-09-16
2476,2021-09-17
2477,2021-09-23
