,Date
107,2012-02-07
1415,2017-05-29
1416,2017-05-30
1417,2017-05-31
1418,2017-06-01
1419,2017-06-02
1420,2017-06-05
1421,2017-06-07
2101,2020-03-17
2102,2020-03-18
2103,2020-03-19
2104,2020-03-20
2105,2020-03-23
2106,2020-03-24
2107,2020-03-25
2108,2020-03-26
2109,2020-03-27
2110,2020-03-30
2157,2020-06-09
2158,2020-06-10
2159,2020-06-11
2160,2020-06-12
2164,2020-06-18
2165,2020-06-19
2166,2020-06-22
2201,2020-08-10
2202,2020-08-11
2203,2020-08-12
2204,2020-08-13
2205,2020-08-14
2206,2020-08-18
2207,2020-08-19
2208,2020-08-20
2296,2020-12-29
2297,2020-12-30
2298,2021-01-04
2299,2021-01-05
2300,2021-01-06
2301,2021-01-07
2302,2021-01-08
2303,2021-01-11
2304,2021-01-12
2305,2021-01-13
2306,2021-01-14
2307,2021-01-15
2308,2021-01-18
2309,2021-01-19
2310,2021-01-20
2311,2021-01-21
2312,2021-01-22
2313,2021-01-25
2314,2021-01-26
2315,2021-01-27
2316,2021-01-28
2317,2021-01-29
2318,2021-02-01
2334,2021-02-25
2335,2021-02-26
2336,2021-03-02
2337,2021-03-03
2338,2021-03-04
2339,2021-03-05
2340,2021-03-08
2341,2021-03-09
2342,2021-03-10
2343,2021-03-11
2344,2021-03-12
2369,2021-04-16
2370,2021-04-19
2371,2021-04-20
2372,2021-04-21
2373,2021-04-22
2374,2021-04-23
2375,2021-04-26
2376,2021-04-27
2377,2021-04-28
2378,2021-04-29
2379,2021-04-30
2380,2021-05-03
2381,2021-05-04
2382,2021-05-06
2383,2021-05-07
2384,2021-05-10
2385,2021-05-11
2386,2021-05-12
2387,2021-05-13
2388,2021-05-14
2389,2021-05-17
2390,2021-05-18
2391,2021-05-20
2392,2021-05-21
2393,2021-05-24
2394,2021-05-25
2398,2021-05-31
2399,2021-06-01
2400,2021-06-02
2401,2021-06-03
2402,2021-06-04
2403,2021-06-07
2404,2021-06-08
2405,2021-06-09
2406,2021-06-10
2407,2021-06-11
2408,2021-06-14
2409,2021-06-15
2410,2021-06-16
2411,2021-06-17
2412,2021-06-18
2413,2021-06-21
2414,2021-06-22
2415,2021-06-23
2416,2021-06-24
2417,2021-06-25
