,Date
98,2012-01-25
99,2012-01-26
100,2012-01-27
101,2012-01-30
102,2012-01-31
103,2012-02-01
104,2012-02-02
105,2012-02-03
106,2012-02-06
107,2012-02-07
108,2012-02-08
109,2012-02-09
110,2012-02-10
111,2012-02-13
112,2012-02-14
527,2013-10-18
528,2013-10-21
529,2013-10-22
530,2013-10-23
531,2013-10-24
721,2014-07-31
722,2014-08-01
723,2014-08-04
724,2014-08-05
725,2014-08-06
726,2014-08-07
727,2014-08-08
728,2014-08-11
729,2014-08-12
1101,2016-02-18
1102,2016-02-19
1103,2016-02-22
1104,2016-02-23
1105,2016-02-24
1106,2016-02-25
1107,2016-02-26
1108,2016-02-29
1109,2016-03-02
1110,2016-03-03
1111,2016-03-04
1112,2016-03-07
1113,2016-03-08
1114,2016-03-09
1115,2016-03-10
1116,2016-03-11
1117,2016-03-14
1118,2016-03-15
1119,2016-03-16
1120,2016-03-17
1121,2016-03-18
1122,2016-03-21
1123,2016-03-22
1124,2016-03-23
1125,2016-03-24
1126,2016-03-25
1127,2016-03-28
1144,2016-04-21
1145,2016-04-22
1146,2016-04-25
1147,2016-04-26
1148,2016-04-27
1149,2016-04-28
1150,2016-04-29
1209,2016-07-26
1210,2016-07-27
1211,2016-07-28
1212,2016-07-29
1220,2016-08-10
1221,2016-08-11
1222,2016-08-12
1223,2016-08-16
1270,2016-10-26
1271,2016-10-27
1485,2017-09-06
1486,2017-09-07
1487,2017-09-08
1488,2017-09-11
1489,2017-09-12
1553,2017-12-19
1554,2017-12-20
1555,2017-12-21
1556,2017-12-22
1558,2017-12-27
1559,2017-12-28
1560,2018-01-02
1565,2018-01-09
1566,2018-01-10
1567,2018-01-11
1568,2018-01-12
1569,2018-01-15
1570,2018-01-16
1571,2018-01-17
1572,2018-01-18
1589,2018-02-12
1624,2018-04-05
1625,2018-04-06
1627,2018-04-10
1661,2018-05-31
1662,2018-06-01
1663,2018-06-04
1664,2018-06-05
1745,2018-10-05
1746,2018-10-08
1747,2018-10-10
1764,2018-11-02
1765,2018-11-05
1768,2018-11-08
1954,2019-08-09
1955,2019-08-12
1956,2019-08-13
1957,2019-08-14
1978,2019-09-17
1979,2019-09-18
1980,2019-09-19
2086,2020-02-25
2087,2020-02-26
2088,2020-02-27
2089,2020-02-28
2090,2020-03-02
2091,2020-03-03
2092,2020-03-04
2097,2020-03-11
2098,2020-03-12
2099,2020-03-13
2100,2020-03-16
2101,2020-03-17
2102,2020-03-18
2103,2020-03-19
2104,2020-03-20
2105,2020-03-23
2106,2020-03-24
2107,2020-03-25
2108,2020-03-26
2109,2020-03-27
2110,2020-03-30
2131,2020-04-29
2132,2020-05-04
2152,2020-06-02
2153,2020-06-03
2154,2020-06-04
2155,2020-06-05
2156,2020-06-08
2157,2020-06-09
2158,2020-06-10
2159,2020-06-11
2160,2020-06-12
2161,2020-06-15
2205,2020-08-14
2206,2020-08-18
2264,2020-11-12
2265,2020-11-13
2266,2020-11-16
2267,2020-11-17
2268,2020-11-18
2269,2020-11-19
2270,2020-11-20
2274,2020-11-26
2275,2020-11-27
2276,2020-11-30
2341,2021-03-09
2342,2021-03-10
2343,2021-03-11
2344,2021-03-12
2345,2021-03-15
2346,2021-03-16
2347,2021-03-17
2348,2021-03-18
2349,2021-03-19
2350,2021-03-22
2351,2021-03-23
2352,2021-03-24
2353,2021-03-25
2354,2021-03-26
2355,2021-03-29
2356,2021-03-30
2357,2021-03-31
2358,2021-04-01
2359,2021-04-02
2360,2021-04-05
2361,2021-04-06
2362,2021-04-07
2385,2021-05-11
2386,2021-05-12
2387,2021-05-13
2388,2021-05-14
2389,2021-05-17
2390,2021-05-18
2428,2021-07-12
2429,2021-07-13
2430,2021-07-14
2431,2021-07-15
