,Date
45,2011-11-08
46,2011-11-09
47,2011-11-10
48,2011-11-11
50,2011-11-15
74,2011-12-19
107,2012-02-07
108,2012-02-08
109,2012-02-09
110,2012-02-10
111,2012-02-13
112,2012-02-14
113,2012-02-15
114,2012-02-16
115,2012-02-17
138,2012-03-22
139,2012-03-23
151,2012-04-10
152,2012-04-12
153,2012-04-13
154,2012-04-16
155,2012-04-17
162,2012-04-26
163,2012-04-27
164,2012-04-30
165,2012-05-02
210,2012-07-06
211,2012-07-09
290,2012-10-31
291,2012-11-01
292,2012-11-02
293,2012-11-05
294,2012-11-06
295,2012-11-07
298,2012-11-12
299,2012-11-13
300,2012-11-14
301,2012-11-15
302,2012-11-16
303,2012-11-19
304,2012-11-20
1979,2019-09-18
1980,2019-09-19
1981,2019-09-20
1982,2019-09-23
1983,2019-09-24
1984,2019-09-25
2112,2020-04-01
2113,2020-04-02
2114,2020-04-03
2115,2020-04-06
2116,2020-04-07
2117,2020-04-08
2118,2020-04-09
2119,2020-04-10
2120,2020-04-13
2121,2020-04-14
2122,2020-04-16
2123,2020-04-17
2124,2020-04-20
2125,2020-04-21
2126,2020-04-22
2127,2020-04-23
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2133,2020-05-06
2134,2020-05-07
2135,2020-05-08
2136,2020-05-11
2137,2020-05-12
2138,2020-05-13
2139,2020-05-14
2140,2020-05-15
2141,2020-05-18
2142,2020-05-19
2143,2020-05-20
2144,2020-05-21
2145,2020-05-22
2146,2020-05-25
2147,2020-05-26
2148,2020-05-27
2149,2020-05-28
2150,2020-05-29
2151,2020-06-01
2152,2020-06-02
2153,2020-06-03
2154,2020-06-04
2155,2020-06-05
2156,2020-06-08
2157,2020-06-09
2158,2020-06-10
2159,2020-06-11
2160,2020-06-12
2161,2020-06-15
2162,2020-06-16
2163,2020-06-17
2164,2020-06-18
2165,2020-06-19
2166,2020-06-22
2167,2020-06-23
2168,2020-06-24
2169,2020-06-25
2170,2020-06-26
2171,2020-06-29
2172,2020-06-30
2173,2020-07-01
2174,2020-07-02
2175,2020-07-03
2176,2020-07-06
2177,2020-07-07
2178,2020-07-08
2185,2020-07-17
2186,2020-07-20
2187,2020-07-21
2188,2020-07-22
2189,2020-07-23
2190,2020-07-24
2191,2020-07-27
2192,2020-07-28
2193,2020-07-29
2194,2020-07-30
2195,2020-07-31
2196,2020-08-03
2197,2020-08-04
2198,2020-08-05
2199,2020-08-06
2200,2020-08-07
2201,2020-08-10
2202,2020-08-11
2203,2020-08-12
2216,2020-09-01
2217,2020-09-02
2218,2020-09-03
2219,2020-09-04
2220,2020-09-07
2221,2020-09-08
2222,2020-09-09
2400,2021-06-02
2401,2021-06-03
2402,2021-06-04
2403,2021-06-07
2404,2021-06-08
2405,2021-06-09
2406,2021-06-10
2407,2021-06-11
2408,2021-06-14
2409,2021-06-15
2410,2021-06-16
2411,2021-06-17
2412,2021-06-18
2413,2021-06-21
2414,2021-06-22
2415,2021-06-23
2416,2021-06-24
