종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"065150","MP그룹","KOSDAQ","투자주의환기종목(소속부없음)","895","0","0.00","0","0","0","0","0","111370196730","124435974"
"219550","MP한강","KOSDAQ","중견기업부","1080","0","0.00","1065","1095","1055","1299276","1399384710","86214093120","79827864"
"035420","NAVER","KOSPI",,"402000","-1500","-0.37","397000","407500","395000","1212076","486978776636","66033884790000","164263395"
"160550","NEW","KOSDAQ","중견기업부","11700","-100","-0.85","11650","12000","11350","380449","4449868050","326501440200","27906106"
"053290","NE능률","KOSDAQ","벤처기업부","8350","890","11.93","7350","8350","7250","5002836","39400372210","137994663450","16526307"
"181710","NHN","KOSPI",,"71600","700","0.99","70500","71800","70300","58802","4188428400","1400855790000","19565025"
"104200","NHN벅스","KOSDAQ","중견기업부","7190","90","1.27","7030","7270","7010","83792","601350600","106610084500","14827550"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부","53800","1100","2.09","52300","53900","51900","269815","14355430200","1235860943400","22971393"
"005940","NH투자증권","KOSPI",,"11500","0","0.00","11400","11500","11300","751402","8552979300","3236202200500","281408887"
"005945","NH투자증권우","KOSPI",,"9070","-30","-0.33","9100","9110","9040","175402","1591320500","171159679760","18870968"
"338100","NH프라임리츠","KOSPI",,"4275","-5","-0.12","4255","4280","4255","45822","195579095","79771500000","18660000"
"034310","NICE","KOSPI",,"17150","-150","-0.87","17200","17250","17000","56637","969544900","649681445000","37882300"
"030190","NICE평가정보","KOSDAQ","우량기업부","23050","50","0.22","22700","23200","22600","103833","2374571400","1399476601000","60714820"
"008260","NI스틸","KOSPI",,"3395","5","0.15","3360","3425","3340","226714","769010115","97097397215","28600117"
"004250","NPC","KOSPI",,"4200","-10","-0.24","4170","4225","4140","180277","756570590","154224000000","36720000"
"004255","NPC우","KOSPI",,"2365","0","0.00","2360","2365","2350","5011","11814030","12487200000","5280000"
"010060","OCI","KOSPI",,"115500","-4500","-3.75","116000","118500","115000","409096","47461615000","2754602350500","23849371"
"078590","OQP","KOSDAQ","관리종목(소속부없음)","4495","40","0.90","4285","4535","4285","960001","4268581825","353867243315","78724637"
"178920","PI첨단소재","KOSDAQ","우량기업부","44900","300","0.67","43850","45150","43600","143428","6391057150","1318547857800","29366322"
"024940","PN풍년","KOSDAQ","벤처기업부","4515","90","2.03","4400","4530","4295","104991","467198875","45150000000","10000000"
"005490","POSCO","KOSPI",,"288500","-7000","-2.37","291500","292500","286000","731149","210988050869","25153401897500","87186835"
"218410","RFHIC","KOSDAQ","우량기업부","38500","-350","-0.90","38400","38900","38150","86502","3330204850","918133370000","23847620"
"091340","S&K폴리텍","KOSDAQ","중견기업부","5260","0","0.00","5260","5290","5150","49102","256863700","61561572460","11703721"
"010950","S-Oil","KOSPI",,"79200","-2700","-3.30","79200","80300","79200","736555","58501069600","8916557126400","112582792"
"010955","S-Oil우","KOSPI",,"45400","-950","-2.05","45550","45600","45100","16238","735890750","182595485800","4021927"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부","1770","-5","-0.28","1760","1800","1720","8842205","15553698305","286857837750","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","9370","20","0.21","9250","9580","9040","575131","5359884610","225330134800","24048040"
"034120","SBS","KOSPI",,"22300","150","0.68","22000","22700","21950","117804","2637610950","407032578600","18252582"
"101060","SBS미디어홀딩스","KOSPI",,"1920","-60","-3.03","1965","1985","1920","149844","290203400","268600684800","139896190"
"046140","SBS콘텐츠허브","KOSDAQ","중견기업부","6560","-40","-0.61","6560","6600","6470","23521","153721400","140800920800","21463555"
"036120","SCI평가정보","KOSDAQ","중견기업부","4390","40","0.92","4350","4410","4305","444446","1943169605","155845000000","35500000"
"099220","SDN","KOSDAQ","중견기업부","3070","-40","-1.29","3070","3095","3020","508715","1556139030","147908651980","48178714"
"036540","SFA반도체","KOSDAQ","우량기업부","8170","-70","-0.85","8080","8220","8060","2081270","16959898300","1343640675510","164460303"
"255220","SG","KOSDAQ","우량기업부","1975","-10","-0.50","1965","1980","1935","25997","50987970","72522053325","36720027"
"040610","SG&G","KOSDAQ","중견기업부","2600","-5","-0.19","2570","2670","2555","399426","1044464970","88626709600","34087196"
"049470","SGA","KOSDAQ","벤처기업부","969","0","0.00","969","1025","950","2323293","2279808498","47299069281","48812249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","1470","95","6.91","1340","1600","1335","11997761","17554933540","57247099350","38943605"
"224880","SGA클라우드서비스","KONEX","일반기업부","2960","0","0.00","0","0","0","0","0","16037768400","5418165"
"005090","SGC에너지","KOSPI",,"39050","-300","-0.76","39000","39550","38550","44067","1711318300","573137006200","14677004"
"016250","SGC이테크건설","KOSDAQ","우량기업부","52600","-800","-1.50","52300","53100","52100","2822","147895800","83180745800","1581383"
"004060","SG세계물산","KOSPI",,"725","3","0.42","725","728","715","1865445","1347176212","146758096000","202424960"
"001380","SG충방","KOSPI",,"2750","80","3.00","2625","2760","2605","642742","1737386480","123651393250","44964143"
"002360","SH에너지화학","KOSPI",,"939","2","0.21","926","941","921","1008583","938428938","104354572470","111133730"
"009160","SIMPAC","KOSPI",,"3185","50","1.59","3095","3185","3095","52716","165683615","208393008460","65429516"
"123700","SJM","KOSPI",,"4075","-20","-0.49","4065","4090","4060","8804","35833670","63589959350","15604898"
"025530","SJM홀딩스","KOSPI",,"3540","0","0.00","3540","3540","3475","8813","30927515","52866388320","14934008"
"034730","SK","KOSPI",,"250500","3500","1.42","242000","250500","241500","261272","64794993000","17625254398500","70360297"
"307070","SK4호스팩","KOSDAQ","SPAC(소속부없음)","2040","0","0.00","2040","2045","2040","52987","108093485","10526400000","5160000"
"337450","SK5호스팩","KOSDAQ","SPAC(소속부없음)","2080","-10","-0.48","2080","2080","2050","2503","5138480","8964800000","4310000"
