DATE,BAMLH0A0HYM2EY
2021-02-04,4.23
2021-02-05,4.18
2021-02-08,4.15
2021-02-09,4.12
2021-02-10,4.10
2021-02-11,4.09
2021-02-12,4.10
2021-02-15,4.08
2021-02-16,4.09
2021-02-17,4.12
2021-02-18,4.13
2021-02-19,4.12
2021-02-22,4.17
2021-02-23,4.19
2021-02-24,4.16
2021-02-25,4.30
2021-02-26,4.37
2021-02-28,4.46
2021-03-01,4.38
2021-03-02,4.34
2021-03-03,4.36
2021-03-04,4.45
2021-03-05,4.52
2021-03-08,4.53
2021-03-09,4.54
2021-03-10,4.53
2021-03-11,4.41
2021-03-12,4.51
2021-03-15,4.50
2021-03-16,4.49
2021-03-17,4.57
