Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,61.599998,61.599998,60.639999,61.180000,61.180000,486873
2020-01-03,61.180000,64.089996,61.130001,63.049999,63.049999,885861
2020-01-06,63.709999,64.720001,62.639999,63.270000,63.270000,724236
2020-01-07,62.910000,63.150002,62.110001,62.700001,62.700001,582649
2020-01-08,62.840000,65.650002,59.150002,59.610001,59.610001,1205710
2020-01-09,59.990002,60.310001,58.660000,59.560001,59.560001,750933
2020-01-10,59.610001,59.779999,58.849998,59.040001,59.040001,596186
2020-01-13,59.040001,59.270000,57.910000,58.080002,58.080002,584002
2020-01-14,58.029999,58.720001,57.720001,58.230000,58.230000,507714
2020-01-15,58.200001,58.360001,57.360001,57.810001,57.810001,433169
2020-01-16,58.099998,58.869999,57.560001,58.520000,58.520000,182871
2020-01-17,58.590000,58.980000,58.270000,58.540001,58.540001,122561
2020-01-21,59.169998,59.730000,57.680000,58.340000,58.340000,648335
2020-01-22,58.259998,58.380001,56.029999,56.740002,56.740002,620119
2020-01-23,56.110001,56.270000,54.770000,55.590000,55.590000,703995
2020-01-24,55.689999,55.950001,53.849998,54.189999,54.189999,586195
2020-01-27,53.700001,53.709999,52.130001,53.139999,53.139999,712880
2020-01-28,52.770000,54.060001,52.680000,53.480000,53.480000,633963
2020-01-29,53.970001,54.369999,52.810001,53.330002,53.330002,624979
2020-01-30,53.090000,53.200001,51.660000,52.139999,52.139999,720123
2020-01-31,52.919998,53.360001,50.970001,51.560001,51.560001,827907
2020-02-03,51.009998,51.970001,49.799999,50.110001,50.110001,876044
2020-02-04,49.939999,51.549999,49.310001,49.610001,49.610001,859357
2020-02-05,49.509998,51.880001,49.470001,50.750000,50.750000,887946
2020-02-06,51.169998,52.200001,50.240002,50.950001,50.950001,750659
2020-02-07,51.110001,51.480000,50.090000,50.320000,50.320000,768345
2020-02-10,50.119999,50.490002,49.419998,49.570000,49.570000,715894
2020-02-11,49.610001,50.689999,49.580002,49.939999,49.939999,725733
2020-02-12,49.959999,51.730000,49.950001,51.169998,51.169998,795256
2020-02-13,51.720001,51.959999,50.599998,51.419998,51.419998,745400
2020-02-14,51.509998,52.340000,51.320000,52.049999,52.049999,607343
2020-02-18,52.230000,52.410000,50.880001,52.049999,52.049999,221774
2020-02-19,52.119999,53.660000,51.930000,53.290001,53.290001,113683
2020-02-20,53.500000,54.500000,53.220001,53.779999,53.779999,676179
2020-02-21,53.740002,53.860001,52.549999,53.380001,53.380001,707555
2020-02-24,52.599998,52.639999,50.450001,51.430000,51.430000,765515
2020-02-25,51.369999,52.020000,49.689999,49.900002,49.900002,764989
2020-02-26,50.080002,50.439999,48.299999,48.730000,48.730000,884482
2020-02-27,48.630001,48.779999,45.880001,47.090000,47.090000,1011915
2020-02-28,46.490002,47.029999,43.849998,44.759998,44.759998,1101659
2020-03-02,43.700001,47.560001,43.320000,46.750000,46.750000,949471
2020-03-03,47.720001,48.660000,46.470001,47.180000,47.180000,1011933
2020-03-04,46.939999,48.410000,46.650002,46.779999,46.779999,745856
2020-03-05,47.130001,47.570000,45.650002,45.900002,45.900002,704591
2020-03-06,46.090000,46.380001,41.049999,41.279999,41.279999,1276180
2020-03-09,32.869999,34.880001,27.340000,31.129999,31.129999,1774383
2020-03-10,30.370001,35.020000,30.200001,34.360001,34.360001,1064632
2020-03-11,34.619999,36.349998,32.560001,32.980000,32.980000,874646
2020-03-12,33.070000,33.630001,30.020000,31.500000,31.500000,1025036
2020-03-13,30.770000,33.869999,30.330000,31.730000,31.730000,743129
2020-03-16,33.750000,33.750000,28.100000,28.700001,28.700001,698829
2020-03-17,28.690001,30.299999,26.629999,26.950001,26.950001,545820
2020-03-18,26.940001,27.219999,20.059999,20.370001,20.370001,309481
2020-03-19,22.299999,27.709999,21.360001,25.219999,25.219999,136722
2020-03-20,24.730000,27.889999,19.459999,22.430000,22.430000,1133808
2020-03-23,22.520000,24.070000,20.799999,23.360001,23.360001,852951
2020-03-24,23.870001,25.160000,23.090000,24.010000,24.010000,659697
2020-03-25,24.370001,25.240000,22.910000,24.490000,24.490000,618725
2020-03-26,24.250000,24.650000,22.379999,22.600000,22.600000,633877
2020-03-27,23.290001,23.440001,20.879999,21.510000,21.510000,603124
2020-03-30,20.930000,20.930000,19.270000,20.090000,20.090000,758711
2020-03-31,20.230000,21.889999,20.010000,20.480000,20.480000,660082
2020-04-01,20.100000,21.549999,19.900000,20.309999,20.309999,703286
2020-04-02,21.219999,27.389999,20.760000,25.320000,25.320000,1095972
2020-04-03,24.809999,29.129999,23.520000,28.340000,28.340000,1007577
2020-04-06,26.090000,28.240000,25.280001,26.080000,26.080000,752710
2020-04-07,26.340000,27.240000,23.540001,23.629999,23.629999,797707
2020-04-08,24.299999,26.450001,23.740000,25.090000,25.090000,823554
2020-04-09,26.280001,28.360001,22.570000,22.760000,22.760000,1122149
2020-04-13,24.600000,24.740000,22.030001,22.410000,22.410000,775120
2020-04-14,22.360001,23.080000,19.950001,20.110001,20.110001,785478
2020-04-15,20.719999,20.889999,19.200001,19.870001,19.870001,544797
2020-04-16,20.150000,20.530001,19.420000,19.870001,19.870001,350942
2020-04-17,20.000000,20.219999,17.309999,18.270000,18.270000,240628
2020-04-20,17.730000,17.850000,-40.320000,-37.630001,-37.630001,247947
2020-04-21,-14.000000,13.860000,-16.740000,10.010000,10.010000,2288230
2020-04-22,13.120000,16.180000,10.260000,13.780000,13.780000,1235218
2020-04-23,14.200000,18.260000,13.350000,16.500000,16.500000,833584
2020-04-24,16.780001,17.969999,15.640000,16.940001,16.940001,600220
2020-04-27,16.840000,16.980000,11.880000,12.780000,12.780000,623201
2020-04-28,12.960000,13.690000,10.070000,12.340000,12.340000,897087
2020-04-29,13.350000,16.780001,12.670000,15.060000,15.060000,554134
2020-04-30,15.640000,19.440001,15.450000,18.840000,18.840000,545344
2020-05-01,19.040001,20.480000,18.070000,19.780001,19.780001,403201
2020-05-04,19.110001,21.420000,18.049999,20.389999,20.389999,311488
2020-05-05,21.240000,25.490000,21.129999,24.559999,24.559999,387240
2020-05-06,25.520000,26.080000,22.580000,23.990000,23.990000,381165
2020-05-07,24.090000,26.740000,22.940001,23.549999,23.549999,310261
2020-05-08,23.350000,24.990000,23.260000,24.740000,24.740000,205181
