종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"019660","글로본","KOSDAQ","중견기업부","3880","-50","-1.27","3995","4030","3820","322870","1266633575","124202113520","32010854"
"014280","금강공업","KOSPI",,"5290","150","2.92","5140","5300","5040","123962","634575990","153523803770","29021513"
"014285","금강공업우","KOSPI",,"11250","0","0.00","11100","11300","11100","4759","53657850","6636093750","589875"
"053260","금강철강","KOSDAQ","우량기업부","6090","-10","-0.16","6120","6170","5860","681286","4094299890","114004800000","18720000"
"008870","금비","KOSPI",,"68000","100","0.15","67900","68200","67300","1019","69081500","68000000000","1000000"
"001570","금양","KOSPI",,"4140","-115","-2.70","4200","4230","4100","577707","2398322320","197472237120","47698608"
"002990","금호산업","KOSPI",,"9430","100","1.07","9340","9460","9180","210196","1958687950","345457903320","36633924"
"002995","금호산업우","KOSPI",,"30450","-850","-2.72","30500","30750","30200","2462","74754500","8899499700","292266"
"011780","금호석유","KOSPI",,"220000","6500","3.04","213000","222500","213000","492658","107733382000","6702892020000","30467691"
"011785","금호석유우","KOSPI",,"86600","1100","1.29","85500","87200","84900","36156","3112632500","261833887600","3023486"
"214330","금호에이치티","KOSPI",,"2235","-5","-0.22","2250","2255","2230","1548887","3468678325","279950872335","125257661"
"001210","금호전기","KOSPI",,"2600","-20","-0.76","2620","2620","2575","31715","82192335","31152732000","11981820"
"073240","금호타이어","KOSPI",,"3930","0","0.00","3925","3970","3900","250114","982181685","1128932927910","287260287"
"036190","금화피에스시","KOSDAQ","우량기업부","29050","0","0.00","28950","29150","28900","3573","103590250","174300000000","6000000"
"049080","기가레인","KOSDAQ","중견기업부","1850","-40","-2.12","1865","1875","1775","1584384","2880539000","133291824750","72049635"
"035460","기산텔레콤","KOSDAQ","벤처기업부","2790","-35","-1.24","2800","2840","2705","89597","250690695","40670778600","14577340"
"092440","기신정기","KOSPI",,"5250","-370","-6.58","5480","5780","5180","2140777","11616539940","153300000000","29200000"
"000270","기아차","KOSPI",,"84600","-1200","-1.40","85300","85400","83700","2777471","234744253300","34293739156200","405363347"
"024110","기업은행","KOSPI",,"9110","10","0.11","9100","9140","9050","1569225","14262708660","6729232319600","738664360"
"013700","까뮤이앤씨","KOSPI",,"2990","65","2.22","3015","3170","2825","11849005","35585767140","135005317200","45152280"
"308100","까스텔바작","KOSDAQ","우량기업부","12750","0","0.00","12750","12800","12550","38072","482257350","84107925000","6596700"
"004540","깨끗한나라","KOSPI",,"4015","0","0.00","4035","4075","4000","104298","419639335","149521382395","37240693"
"004545","깨끗한나라우","KOSPI",,"18100","-100","-0.55","18000","18200","17900","1298","23476800","6627496000","366160"
"187790","나노","KOSDAQ","벤처기업부","1470","-20","-1.34","1500","1500","1460","177925","261962910","37922846850","25797855"
"286750","나노브릭","KOSDAQ","기술성장기업부","17850","-150","-0.83","18000","18150","17650","4794","85529900","81397838550","4560103"
"151910","나노스","KOSDAQ","중견기업부","8220","-100","-1.20","8680","8680","8030","677059","5621852720","1221700352340","148625347"
"121600","나노신소재","KOSDAQ","벤처기업부","29400","-400","-1.34","29800","30300","28700","188351","5538744850","318940990200","10848333"
"247660","나노씨엠에스","KOSDAQ","기술성장기업부","19600","-500","-2.49","20000","20000","19150","410744","8036364550","77274705200","3942587"
"039860","나노엔텍","KOSDAQ","중견기업부","7400","90","1.23","7320","7550","7290","263974","1955962920","198292819800","26796327"
"091970","나노캠텍","KOSDAQ","중견기업부","2120","80","3.92","2035","2120","2020","1140714","2404102515","59530501000","28080425"
