"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 10월 17일","2,126.5","2,132.9","2,135.6","2,124.4","-","-0.30%"
"2016년 10월 14일","2,133.0","2,139.7","2,149.2","2,133.0","-","0.02%"
"2016년 10월 13일","2,132.6","2,130.3","2,138.2","2,114.7","-","-0.31%"
"2016년 10월 12일","2,139.2","2,137.7","2,145.4","2,132.8","-","0.11%"
"2016년 10월 11일","2,136.7","2,161.4","2,161.6","2,128.8","-","-1.24%"
"2016년 10월 10일","2,163.7","2,160.4","2,169.6","2,160.4","-","0.46%"
"2016년 10월 07일","2,153.7","2,164.2","2,165.9","2,144.9","-","-0.33%"
"2016년 10월 06일","2,160.8","2,158.2","2,162.9","2,150.3","-","0.05%"
"2016년 10월 05일","2,159.7","2,155.1","2,163.9","2,155.1","-","0.43%"
"2016년 10월 04일","2,150.5","2,163.4","2,165.5","2,144.0","-","-0.50%"
"2016년 10월 03일","2,161.2","2,164.3","2,164.4","2,154.8","-","-0.33%"
"2016년 09월 30일","2,168.3","2,156.5","2,175.3","2,156.5","-","0.80%"
"2016년 09월 29일","2,151.1","2,168.9","2,172.7","2,145.2","-","-0.93%"
"2016년 09월 28일","2,171.4","2,161.9","2,172.4","2,151.8","-","0.53%"
"2016년 09월 27일","2,159.9","2,146.0","2,161.1","2,141.6","-","0.64%"
"2016년 09월 26일","2,146.1","2,158.5","2,158.5","2,145.0","-","-0.86%"
"2016년 09월 23일","2,164.7","2,173.3","2,173.8","2,164.0","-","-0.57%"
"2016년 09월 22일","2,177.2","2,170.9","2,180.0","2,170.9","-","0.65%"
"2016년 09월 21일","2,163.1","2,144.6","2,165.1","2,139.6","-","1.09%"
"2016년 09월 20일","2,139.8","2,145.9","2,150.8","2,139.2","-","0.03%"
"2016년 09월 19일","2,139.1","2,144.0","2,153.6","2,135.9","-","0.00%"
"2016년 09월 16일","2,139.2","2,146.5","2,146.5","2,131.2","-","-0.38%"
"2016년 09월 15일","2,147.3","2,125.4","2,151.3","2,122.4","-","1.01%"
"2016년 09월 14일","2,125.8","2,127.9","2,141.3","2,119.9","-","-0.06%"
"2016년 09월 13일","2,127.0","2,150.5","2,150.5","2,120.3","-","-1.48%"
"2016년 09월 12일","2,159.0","2,120.9","2,163.3","2,119.1","-","1.47%"
"2016년 09월 09일","2,127.8","2,169.1","2,169.1","2,127.8","-","-2.45%"
"2016년 09월 08일","2,181.3","2,182.8","2,184.9","2,177.5","-","-0.22%"
"2016년 09월 07일","2,186.2","2,185.2","2,187.9","2,179.1","-","-0.01%"
"2016년 09월 06일","2,186.5","2,181.6","2,186.6","2,175.1","-","0.39%"
"2016년 09월 05일","2,178.0","2,180.8","2,182.3","2,175.0","-","-0.13%"
"2016년 09월 04일","2,180.8","2,178.8","2,181.8","2,178.3","-","0.04%"
"2016년 09월 02일","2,180.0","2,177.5","2,184.9","2,173.6","-","0.42%"
"2016년 09월 01일","2,170.9","2,171.3","2,173.6","2,157.1","-","-0.00%"
"2016년 08월 31일","2,170.9","2,173.6","2,173.8","2,161.4","-","-0.24%"
"2016년 08월 30일","2,176.1","2,179.4","2,182.3","2,170.4","-","-0.20%"
"2016년 08월 29일","2,180.4","2,170.2","2,183.5","2,170.2","-","0.52%"
"2016년 08월 26일","2,169.0","2,175.1","2,187.9","2,160.4","-","-0.16%"
"2016년 08월 25일","2,172.5","2,173.3","2,179.0","2,169.7","-","-0.14%"
"2016년 08월 24일","2,175.4","2,185.1","2,186.7","2,171.3","-","-0.52%"
"2016년 08월 23일","2,186.9","2,187.8","2,193.4","2,186.8","-","0.20%"
"2016년 08월 22일","2,182.6","2,181.6","2,185.1","2,176.0","-","-0.06%"
"2016년 08월 19일","2,183.9","2,184.2","2,185.0","2,175.1","-","-0.14%"
"2016년 08월 18일","2,187.0","2,181.9","2,187.0","2,180.5","-","0.22%"
"2016년 08월 17일","2,182.2","2,177.8","2,183.1","2,168.5","-","0.19%"
"2016년 08월 16일","2,178.1","2,186.2","2,186.2","2,178.1","-","-0.55%"
"2016년 08월 15일","2,190.1","2,186.1","2,193.8","2,186.1","-","0.28%"
"2016년 08월 12일","2,184.1","2,183.7","2,186.3","2,179.4","-","-0.08%"
"2016년 08월 11일","2,185.8","2,178.0","2,188.4","2,178.0","-","0.47%"
"2016년 08월 10일","2,175.5","2,182.8","2,183.4","2,172.0","-","-0.29%"
"2016년 08월 09일","2,181.7","2,182.2","2,187.7","2,178.6","-","0.04%"
"2016년 08월 08일","2,180.9","2,183.8","2,185.4","2,177.9","-","-0.09%"
"2016년 08월 05일","2,182.9","2,168.8","2,182.9","2,168.8","-","0.86%"
"2016년 08월 04일","2,164.3","2,163.5","2,168.2","2,159.1","-","0.02%"
"2016년 08월 03일","2,163.8","2,156.8","2,163.8","2,152.6","-","0.31%"
"2016년 08월 02일","2,157.0","2,169.9","2,170.2","2,147.6","-","-0.64%"
"2016년 08월 01일","2,170.8","2,173.1","2,178.3","2,166.2","-","-0.13%"
"2016년 07월 29일","2,173.6","2,168.8","2,177.1","2,163.5","-","0.16%"
"2016년 07월 28일","2,170.1","2,166.1","2,172.9","2,159.7","-","0.16%"
"2016년 07월 27일","2,166.6","2,169.8","2,175.0","2,159.1","-","-0.12%"
"2016년 07월 26일","2,169.2","2,169.0","2,173.5","2,160.2","-","0.03%"
"2016년 07월 25일","2,168.5","2,173.7","2,173.7","2,161.9","-","-0.30%"
"2016년 07월 22일","2,175.0","2,166.5","2,175.1","2,163.2","-","0.46%"
"2016년 07월 21일","2,165.2","2,172.9","2,174.6","2,159.8","-","-0.36%"
"2016년 07월 20일","2,173.0","2,166.1","2,175.6","2,164.9","-","0.43%"
"2016년 07월 19일","2,163.8","2,163.8","2,164.6","2,159.0","-","-0.14%"
"2016년 07월 18일","2,166.9","2,162.0","2,168.4","2,159.6","-","0.24%"
"2016년 07월 15일","2,161.7","2,165.1","2,169.1","2,155.8","-","-0.09%"
"2016년 07월 14일","2,163.8","2,157.9","2,169.0","2,157.9","-","0.53%"
"2016년 07월 13일","2,152.4","2,153.8","2,156.4","2,146.2","-","0.01%"
"2016년 07월 12일","2,152.1","2,139.5","2,155.4","2,139.5","-","0.70%"
"2016년 07월 11일","2,137.2","2,131.7","2,143.2","2,131.7","-","0.34%"
"2016년 07월 08일","2,129.9","2,107.0","2,131.7","2,107.0","-","1.53%"
"2016년 07월 07일","2,097.9","2,100.4","2,109.1","2,089.4","-","-0.09%"
"2016년 07월 06일","2,099.7","2,084.4","2,100.7","2,074.0","-","0.54%"
"2016년 07월 05일","2,088.6","2,095.1","2,095.1","2,080.9","-","-0.40%"
"2016년 07월 04일","2,096.9","2,094.5","2,104.8","2,094.3","-","0.13%"
"2016년 07월 03일","2,094.3","2,099.3","2,099.8","2,094.3","-","-0.41%"
"2016년 07월 01일","2,102.9","2,099.3","2,108.7","2,097.9","-","0.19%"
"2016년 06월 30일","2,098.9","2,073.2","2,098.9","2,070.0","-","1.36%"
"2016년 06월 29일","2,070.8","2,042.7","2,073.1","2,042.7","-","1.70%"
"2016년 06월 28일","2,036.1","2,006.7","2,036.1","2,006.7","-","1.78%"
"2016년 06월 27일","2,000.5","2,031.4","2,031.4","1,991.7","-","-1.81%"
"2016년 06월 24일","2,037.4","2,103.8","2,103.8","2,032.6","-","-3.59%"
"2016년 06월 23일","2,113.3","2,092.8","2,113.3","2,092.8","-","1.34%"
"2016년 06월 22일","2,085.4","2,089.8","2,099.7","2,084.4","-","-0.17%"
