"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 09월 30일","4,374.9","4,371.9","4,397.9","4,370.6","-","0.06%"
"2021년 09월 29일","4,372.1","4,365.2","4,388.7","4,354.8","-","0.15%"
"2021년 09월 28일","4,365.5","4,440.3","4,451.8","4,346.3","-","-1.68%"
"2021년 09월 27일","4,440.1","4,462.9","4,482.4","4,435.8","-","-0.51%"
"2021년 09월 26일","4,462.7","4,457.3","4,464.4","4,456.3","-","0.14%"
"2021년 09월 24일","4,456.4","4,451.8","4,463.5","4,421.6","-","0.10%"
"2021년 09월 23일","4,451.8","4,403.3","4,465.6","4,401.8","-","1.11%"
"2021년 09월 22일","4,403.1","4,341.6","4,416.8","4,332.2","-","1.40%"
"2021년 09월 21일","4,342.1","4,366.9","4,406.4","4,341.6","-","-0.57%"
"2021년 09월 20일","4,366.9","4,427.6","4,428.9","4,305.6","-","-1.36%"
"2021년 09월 19일","4,426.9","4,422.9","4,427.4","4,415.6","-","0.18%"
"2021년 09월 17일","4,418.9","4,466.9","4,481.9","4,418.1","-","-1.08%"
"2021년 09월 16일","4,467.1","4,483.9","4,487.0","4,443.0","-","-0.38%"
"2021년 09월 15일","4,484.2","4,450.5","4,486.6","4,437.8","-","0.75%"
"2021년 09월 14일","4,450.7","4,475.3","4,488.8","4,435.3","-","-0.56%"
"2021년 09월 13일","4,475.6","4,476.0","4,493.8","4,445.8","-","-0.00%"
"2021년 09월 12일","4,475.8","4,462.0","4,476.8","4,462.0","-","0.31%"
"2021년 09월 10일","4,462.1","4,492.4","4,519.1","4,457.7","-","-0.66%"
"2021년 09월 09일","4,491.9","4,509.1","4,529.9","4,487.3","-","-0.36%"
"2021년 09월 08일","4,508.3","4,515.8","4,525.5","4,493.8","-","-0.17%"
"2021년 09월 07일","4,515.8","4,540.6","4,542.4","4,512.9","-","-0.55%"
"2021년 09월 06일","4,540.7","4,529.4","4,549.4","4,525.4","-","0.24%"
"2021년 09월 05일","4,529.7","4,535.4","4,536.0","4,529.4","-","-0.12%"
"2021년 09월 03일","4,535.0","4,536.7","4,546.9","4,521.4","-","-0.02%"
"2021년 09월 02일","4,536.0","4,524.9","4,545.8","4,517.9","-","0.24%"
"2021년 09월 01일","4,525.2","4,530.8","4,542.0","4,522.1","-","-0.11%"
"2021년 08월 31일","4,530.3","4,529.8","4,544.6","4,516.2","-","0.01%"
"2021년 08월 30일","4,529.8","4,514.3","4,537.6","4,504.3","-","0.34%"
"2021년 08월 29일","4,514.3","4,511.1","4,516.5","4,509.4","-","0.08%"
"2021년 08월 27일","4,510.7","4,469.2","4,513.4","4,465.9","-","0.92%"
"2021년 08월 26일","4,469.7","4,496.3","4,496.6","4,468.2","-","-0.59%"
"2021년 08월 25일","4,496.1","4,485.4","4,502.1","4,480.4","-","0.23%"
"2021년 08월 24일","4,485.7","4,487.5","4,495.8","4,480.8","-","-0.03%"
"2021년 08월 23일","4,487.2","4,443.8","4,489.9","4,443.4","-","0.97%"
"2021년 08월 22일","4,444.0","4,439.1","4,446.3","4,437.6","-","0.04%"
"2021년 08월 20일","4,442.1","4,399.1","4,444.5","4,376.1","-","0.99%"
"2021년 08월 19일","4,398.6","4,396.0","4,418.6","4,352.5","-","0.05%"
"2021년 08월 18일","4,396.2","4,438.4","4,454.0","4,386.6","-","-0.94%"
"2021년 08월 17일","4,437.9","4,476.0","4,476.5","4,417.5","-","-0.85%"
"2021년 08월 16일","4,476.1","4,463.5","4,481.5","4,438.0","-","0.29%"
"2021년 08월 15일","4,463.3","4,462.9","4,464.5","4,460.9","-","-0.06%"
"2021년 08월 13일","4,465.8","4,458.6","4,468.8","4,456.8","-","0.17%"
"2021년 08월 12일","4,458.1","4,444.8","4,462.0","4,436.2","-","0.29%"
"2021년 08월 11일","4,445.0","4,434.4","4,449.8","4,427.6","-","0.24%"
"2021년 08월 10일","4,434.3","4,432.1","4,445.4","4,423.6","-","0.05%"
"2021년 08월 09일","4,432.3","4,421.5","4,438.7","4,419.1","-","0.24%"
"2021년 08월 08일","4,421.8","4,435.1","4,435.5","4,419.5","-","-0.35%"
"2021년 08월 06일","4,437.5","4,424.1","4,440.1","4,423.4","-","0.31%"
"2021년 08월 05일","4,423.9","4,405.3","4,429.9","4,401.6","-","0.43%"
"2021년 08월 04일","4,405.1","4,416.0","4,422.6","4,399.8","-","-0.24%"
"2021년 08월 03일","4,415.8","4,393.8","4,424.3","4,373.2","-","0.50%"
"2021년 08월 02일","4,394.0","4,413.9","4,426.7","4,385.0","-","-0.46%"
"2021년 08월 01일","4,414.2","4,404.8","4,415.9","4,403.0","-","0.27%"
"2021년 07월 30일","4,402.1","4,393.6","4,412.3","4,377.8","-","0.18%"
"2021년 07월 29일","4,394.1","4,401.4","4,430.2","4,387.9","-","-0.17%"
"2021년 07월 28일","4,401.7","4,399.7","4,415.6","4,387.3","-","0.04%"
"2021년 07월 27일","4,399.9","4,419.4","4,420.6","4,372.5","-","-0.45%"
"2021년 07월 26일","4,419.6","4,403.7","4,424.6","4,383.7","-","0.29%"
"2021년 07월 23일","4,406.9","4,377.3","4,415.3","4,375.8","-","0.67%"
"2021년 07월 22일","4,377.5","4,361.9","4,379.7","4,350.0","-","0.35%"
"2021년 07월 21일","4,362.4","4,332.6","4,364.9","4,318.3","-","0.68%"
"2021년 07월 20일","4,332.8","4,270.0","4,337.0","4,261.5","-","1.46%"
"2021년 07월 19일","4,270.3","4,316.2","4,317.5","4,233.0","-","-1.06%"
"2021년 07월 18일","4,316.0","4,327.5","4,328.5","4,311.7","-","-0.26%"
"2021년 07월 16일","4,327.2","4,367.4","4,375.1","4,322.5","-","-0.75%"
"2021년 07월 15일","4,360.0","4,369.0","4,369.0","4,340.7","-","-0.33%"
"2021년 07월 14일","4,374.3","4,380.1","4,393.7","4,362.4","-","0.12%"
"2021년 07월 13일","4,369.2","4,381.1","4,392.4","4,366.9","-","-0.35%"
"2021년 07월 12일","4,384.6","4,372.4","4,386.7","4,364.0","-","0.35%"
"2021년 07월 09일","4,369.5","4,329.4","4,371.6","4,329.4","-","1.13%"
"2021년 07월 08일","4,320.8","4,321.1","4,330.9","4,289.4","-","-0.86%"
"2021년 07월 07일","4,358.1","4,351.0","4,361.9","4,329.8","-","0.34%"
"2021년 07월 06일","4,343.5","4,356.5","4,356.5","4,314.4","-","-0.07%"
"2021년 07월 05일","4,346.4","4,339.4","4,347.4","4,333.1","-","0.17%"
"2021년 07월 04일","4,339.1","4,338.8","4,342.6","4,338.3","-","-0.30%"
"2021년 07월 02일","4,352.3","4,326.6","4,355.4","4,326.6","-","0.75%"
"2021년 07월 01일","4,319.9","4,300.7","4,320.7","4,300.7","-","0.52%"
"2021년 06월 30일","4,297.5","4,290.6","4,302.4","4,288.0","-","0.13%"
"2021년 06월 29일","4,291.8","4,293.2","4,300.5","4,287.0","-","0.03%"
"2021년 06월 28일","4,290.6","4,284.9","4,292.1","4,274.7","-","0.23%"
"2021년 06월 25일","4,280.7","4,274.5","4,286.1","4,271.2","-","0.33%"
"2021년 06월 24일","4,266.5","4,257.0","4,271.3","4,257.0","-","0.58%"
"2021년 06월 23일","4,241.8","4,249.3","4,256.6","4,241.4","-","-0.11%"
"2021년 06월 22일","4,246.4","4,224.6","4,255.8","4,217.3","-","0.51%"
"2021년 06월 21일","4,224.8","4,173.4","4,226.2","4,173.4","-","1.40%"
"2021년 06월 18일","4,166.5","4,204.8","4,204.8","4,164.4","-","-1.31%"
"2021년 06월 17일","4,221.9","4,220.4","4,232.3","4,196.0","-","-0.04%"
"2021년 06월 16일","4,223.7","4,248.9","4,251.9","4,202.5","-","-0.54%"
"2021년 06월 15일","4,246.6","4,255.3","4,257.2","4,238.4","-","-0.20%"
"2021년 06월 14일","4,255.1","4,248.3","4,255.6","4,234.1","-","0.18%"
"2021년 06월 11일","4,247.4","4,242.9","4,248.4","4,232.3","-","0.19%"
"2021년 06월 10일","4,239.2","4,228.6","4,249.7","4,220.3","-","0.47%"
"2021년 06월 09일","4,219.5","4,233.0","4,237.1","4,218.7","-","-0.18%"
"2021년 06월 08일","4,227.3","4,233.8","4,236.7","4,208.4","-","0.02%"
"2021년 06월 07일","4,226.5","4,229.3","4,232.3","4,215.7","-","-0.08%"
"2021년 06월 04일","4,229.9","4,206.0","4,233.5","4,206.0","-","0.88%"
"2021년 06월 03일","4,192.9","4,191.4","4,204.4","4,167.9","-","-0.36%"
"2021년 06월 02일","4,208.1","4,206.8","4,217.4","4,198.3","-","0.14%"
"2021년 06월 01일","4,202.0","4,216.5","4,234.1","4,197.6","-","0.03%"
"2021년 05월 31일","4,200.6","4,206.9","4,209.9","4,190.4","-","-0.16%"
"2021년 05월 30일","4,207.4","4,203.3","4,210.4","4,203.1","-","0.08%"
"2021년 05월 28일","4,204.1","4,210.8","4,218.4","4,203.6","-","0.08%"
"2021년 05월 27일","4,200.9","4,201.9","4,213.4","4,197.8","-","0.12%"
"2021년 05월 26일","4,196.0","4,191.6","4,202.6","4,184.1","-","0.19%"
"2021년 05월 25일","4,188.1","4,205.9","4,213.4","4,182.5","-","-0.21%"
"2021년 05월 24일","4,197.0","4,170.2","4,209.5","4,170.2","-","0.99%"
"2021년 05월 21일","4,155.9","4,168.6","4,188.7","4,151.7","-","-0.08%"
"2021년 05월 20일","4,159.1","4,122.0","4,172.8","4,122.0","-","1.06%"
"2021년 05월 19일","4,115.7","4,098.5","4,116.9","4,061.4","-","-0.29%"
"2021년 05월 18일","4,127.8","4,165.9","4,169.1","4,126.0","-","-0.85%"
"2021년 05월 17일","4,163.3","4,169.9","4,171.9","4,142.7","-","-0.25%"
"2021년 05월 14일","4,173.9","4,129.6","4,183.1","4,129.6","-","1.49%"
"2021년 05월 13일","4,112.5","4,075.0","4,131.6","4,075.0","-","1.22%"
"2021년 05월 12일","4,063.0","4,130.5","4,134.7","4,056.9","-","-2.14%"
"2021년 05월 11일","4,152.1","4,150.3","4,162.0","4,111.5","-","-0.87%"
"2021년 05월 10일","4,188.4","4,228.3","4,236.4","4,188.1","-","-1.04%"
"2021년 05월 07일","4,232.6","4,210.3","4,238.0","4,201.6","-","0.74%"
"2021년 05월 06일","4,201.6","4,169.1","4,202.7","4,147.3","-","0.82%"
"2021년 05월 05일","4,167.6","4,177.1","4,187.7","4,160.9","-","0.07%"
"2021년 05월 04일","4,164.7","4,179.0","4,179.0","4,128.6","-","-0.67%"
"2021년 05월 03일","4,192.7","4,192.0","4,209.4","4,188.0","-","0.27%"
"2021년 04월 30일","4,181.2","4,198.1","4,198.1","4,174.9","-","-0.72%"
"2021년 04월 29일","4,211.5","4,206.1","4,218.8","4,176.8","-","0.68%"
"2021년 04월 28일","4,183.2","4,185.1","4,201.5","4,181.8","-","-0.08%"
"2021년 04월 27일","4,186.7","4,188.3","4,193.4","4,176.2","-","-0.02%"
"2021년 04월 26일","4,187.6","4,185.0","4,194.2","4,182.4","-","0.18%"
"2021년 04월 23일","4,180.2","4,138.8","4,194.2","4,138.8","-","1.09%"
"2021년 04월 22일","4,135.0","4,170.5","4,179.6","4,123.7","-","-0.92%"
"2021년 04월 21일","4,173.4","4,128.4","4,175.0","4,126.4","-","0.93%"
"2021년 04월 20일","4,134.9","4,159.2","4,159.2","4,118.4","-","-0.68%"
"2021년 04월 19일","4,163.3","4,179.8","4,180.8","4,150.5","-","-0.53%"
"2021년 04월 16일","4,185.5","4,174.1","4,191.3","4,170.8","-","0.36%"
"2021년 04월 15일","4,170.4","4,139.8","4,173.5","4,139.8","-","1.11%"
"2021년 04월 14일","4,124.7","4,141.6","4,151.7","4,120.9","-","-0.41%"
"2021년 04월 13일","4,141.6","4,130.1","4,148.0","4,124.4","-","0.33%"
"2021년 04월 12일","4,128.0","4,124.7","4,131.8","4,114.8","-","-0.02%"
"2021년 04월 09일","4,128.8","4,096.1","4,129.5","4,095.5","-","0.77%"
"2021년 04월 08일","4,097.2","4,089.9","4,098.2","4,082.5","-","0.42%"
"2021년 04월 07일","4,079.9","4,074.3","4,083.1","4,068.3","-","0.15%"
"2021년 04월 06일","4,073.9","4,075.6","4,086.2","4,068.1","-","-0.10%"
"2021년 04월 05일","4,077.9","4,034.4","4,083.4","4,034.4","-","0.25%"
"2021년 04월 02일","4,067.8","4,014.5","4,038.0","4,012.5","-","1.19%"
"2021년 04월 01일","4,019.9","3,992.8","4,020.6","3,992.8","-","1.18%"
"2021년 03월 31일","3,972.9","3,967.3","3,994.4","3,967.0","-","0.36%"
"2021년 03월 30일","3,958.6","3,963.3","3,968.0","3,944.4","-","-0.32%"
"2021년 03월 29일","3,971.1","3,969.3","3,981.8","3,943.3","-","-0.09%"
"2021년 03월 26일","3,974.5","3,917.1","3,978.2","3,917.1","-","1.66%"
"2021년 03월 25일","3,909.5","3,879.3","3,919.5","3,853.5","-","0.52%"
"2021년 03월 24일","3,889.1","3,919.9","3,942.1","3,889.1","-","-0.55%"
"2021년 03월 23일","3,910.5","3,937.6","3,949.1","3,901.6","-","-0.76%"
"2021년 03월 22일","3,940.6","3,916.5","3,955.3","3,914.2","-","0.70%"
"2021년 03월 19일","3,913.1","3,913.1","3,930.1","3,886.8","-","-0.06%"
"2021년 03월 18일","3,915.5","3,953.5","3,969.6","3,910.9","-","-1.48%"
"2021년 03월 17일","3,974.1","3,949.6","3,983.9","3,935.7","-","0.29%"
"2021년 03월 16일","3,962.7","3,973.6","3,981.0","3,953.4","-","-0.16%"
"2021년 03월 15일","3,968.9","3,943.0","3,970.1","3,923.5","-","0.65%"
"2021년 03월 12일","3,943.3","3,924.5","3,945.0","3,915.2","-","0.10%"
"2021년 03월 11일","3,939.3","3,915.5","3,960.3","3,915.5","-","1.04%"
"2021년 03월 10일","3,898.8","3,892.0","3,917.4","3,885.7","-","0.60%"
"2021년 03월 09일","3,875.4","3,851.9","3,903.8","3,851.9","-","1.42%"
"2021년 03월 08일","3,821.4","3,844.4","3,881.1","3,819.3","-","-0.54%"
"2021년 03월 05일","3,841.9","3,793.6","3,851.7","3,730.2","-","1.95%"
"2021년 03월 04일","3,768.5","3,818.5","3,843.7","3,723.3","-","-1.34%"
"2021년 03월 03일","3,819.7","3,864.0","3,874.5","3,818.9","-","-1.31%"
"2021년 03월 02일","3,870.3","3,903.6","3,906.4","3,868.6","-","-0.81%"
"2021년 03월 01일","3,901.8","3,842.5","3,914.5","3,842.5","-","2.38%"
"2021년 02월 26일","3,811.1","3,839.7","3,861.1","3,789.5","-","-0.48%"
"2021년 02월 25일","3,829.3","3,915.8","3,925.0","3,814.0","-","-2.45%"
"2021년 02월 24일","3,925.4","3,873.7","3,928.6","3,859.6","-","1.14%"
"2021년 02월 23일","3,881.4","3,857.1","3,896.0","3,805.6","-","0.13%"
"2021년 02월 22일","3,876.5","3,885.6","3,902.9","3,874.7","-","-0.77%"
"2021년 02월 19일","3,906.7","3,921.2","3,930.4","3,903.1","-","-0.19%"
"2021년 02월 18일","3,914.0","3,915.9","3,922.0","3,885.0","-","-0.44%"
"2021년 02월 17일","3,931.3","3,918.5","3,933.6","3,900.4","-","-0.03%"
"2021년 02월 16일","3,932.6","3,939.6","3,950.4","3,923.9","-","-0.37%"
"2021년 02월 15일","3,947.4","3,936.4","3,951.9","3,935.9","-","0.28%"
"2021년 02월 14일","3,936.4","3,935.5","3,939.9","3,935.5","-","0.04%"
"2021년 02월 12일","3,934.8","3,911.6","3,937.2","3,905.8","-","0.47%"
"2021년 02월 11일","3,916.4","3,916.4","3,926.0","3,890.4","-","0.17%"
"2021년 02월 10일","3,909.9","3,920.8","3,931.5","3,884.9","-","-0.03%"
"2021년 02월 09일","3,911.2","3,910.5","3,918.4","3,902.6","-","-0.11%"
"2021년 02월 08일","3,915.6","3,892.6","3,915.8","3,892.6","-","0.74%"
"2021년 02월 05일","3,886.8","3,878.3","3,894.6","3,874.9","-","0.39%"
"2021년 02월 04일","3,871.7","3,836.7","3,872.4","3,836.7","-","1.09%"
"2021년 02월 03일","3,830.2","3,840.3","3,847.5","3,816.7","-","0.10%"
"2021년 02월 02일","3,826.3","3,791.8","3,843.1","3,791.8","-","1.39%"
"2021년 02월 01일","3,773.9","3,731.2","3,784.3","3,725.6","-","1.61%"
"2021년 01월 29일","3,714.2","3,778.1","3,778.1","3,694.1","-","-1.93%"
"2021년 01월 28일","3,787.4","3,755.8","3,830.5","3,755.8","-","0.98%"
"2021년 01월 27일","3,750.8","3,836.8","3,836.8","3,732.5","-","-2.57%"
"2021년 01월 26일","3,849.6","3,863.0","3,870.9","3,847.8","-","-0.15%"
"2021년 01월 25일","3,855.4","3,851.7","3,859.2","3,797.2","-","0.36%"
"2021년 01월 22일","3,841.5","3,844.2","3,852.3","3,830.4","-","-0.30%"
"2021년 01월 21일","3,853.1","3,857.5","3,861.4","3,845.1","-","0.03%"
"2021년 01월 20일","3,851.9","3,816.2","3,859.8","3,816.2","-","1.39%"
"2021년 01월 19일","3,798.9","3,781.9","3,804.5","3,780.4","-","0.68%"
"2021년 01월 18일","3,773.1","3,749.4","3,773.4","3,743.0","-","0.62%"
"2021년 01월 17일","3,750.0","3,745.4","3,759.9","3,745.4","-","-0.48%"
"2021년 01월 15일","3,768.3","3,788.7","3,788.7","3,749.6","-","-0.72%"
"2021년 01월 14일","3,795.5","3,815.0","3,823.6","3,792.9","-","-0.38%"
"2021년 01월 13일","3,809.8","3,802.2","3,821.0","3,791.5","-","0.23%"
"2021년 01월 12일","3,801.2","3,801.6","3,810.8","3,776.5","-","0.04%"
"2021년 01월 11일","3,799.6","3,803.1","3,817.9","3,789.0","-","-0.66%"
"2021년 01월 08일","3,824.7","3,815.1","3,826.7","3,783.6","-","0.55%"
"2021년 01월 07일","3,803.8","3,764.7","3,811.6","3,764.7","-","1.48%"
"2021년 01월 06일","3,748.1","3,712.2","3,783.0","3,705.3","-","0.57%"
"2021년 01월 05일","3,726.9","3,698.0","3,737.8","3,695.1","-","0.71%"
"2021년 01월 04일","3,700.6","3,764.6","3,770.0","3,662.7","-","-1.28%"
"2021년 01월 01일","3,748.8","3,748.8","3,748.8","3,748.8","-","-0.19%"
"2020년 12월 31일","3,756.1","3,733.3","3,760.2","3,726.9","-","0.64%"
"2020년 12월 30일","3,732.0","3,736.2","3,744.6","3,730.2","-","0.13%"
"2020년 12월 29일","3,727.0","3,750.0","3,756.1","3,723.3","-","-0.22%"
"2020년 12월 28일","3,735.4","3,723.0","3,740.5","3,723.0","-","0.87%"
"2020년 12월 24일","3,703.1","3,694.0","3,703.8","3,689.3","-","0.35%"
"2020년 12월 23일","3,690.0","3,693.4","3,711.2","3,689.3","-","0.07%"
"2020년 12월 22일","3,687.3","3,698.1","3,698.3","3,676.2","-","-0.21%"
"2020년 12월 21일","3,694.9","3,684.3","3,702.9","3,636.5","-","-0.39%"
"2020년 12월 18일","3,709.4","3,722.4","3,726.7","3,685.8","-","-0.35%"
"2020년 12월 17일","3,722.5","3,713.6","3,725.1","3,710.9","-","0.58%"
"2020년 12월 16일","3,701.2","3,696.3","3,711.3","3,688.6","-","0.18%"
"2020년 12월 15일","3,694.6","3,666.4","3,695.3","3,659.6","-","1.29%"
"2020년 12월 14일","3,647.5","3,675.3","3,697.6","3,645.8","-","-0.44%"
"2020년 12월 11일","3,663.5","3,656.1","3,665.9","3,633.4","-","-0.13%"
"2020년 12월 10일","3,668.1","3,659.1","3,678.5","3,645.2","-","-0.13%"
"2020년 12월 09일","3,672.8","3,706.0","3,712.4","3,660.5","-","-0.79%"
"2020년 12월 08일","3,702.3","3,683.1","3,708.4","3,678.8","-","0.28%"
"2020년 12월 07일","3,692.0","3,694.7","3,697.4","3,678.9","-","-0.19%"
"2020년 12월 04일","3,699.1","3,670.9","3,699.2","3,670.9","-","0.88%"
"2020년 12월 03일","3,666.7","3,668.3","3,682.7","3,657.2","-","-0.06%"
"2020년 12월 02일","3,669.0","3,653.8","3,671.0","3,644.8","-","0.18%"
"2020년 12월 01일","3,662.4","3,645.9","3,678.4","3,645.9","-","1.13%"
"2020년 11월 30일","3,621.6","3,634.2","3,634.2","3,594.4","-","-0.46%"
"2020년 11월 27일","3,638.4","3,638.6","3,644.3","3,629.3","-","0.49%"
"2020년 11월 26일","3,620.8","3,631.6","3,638.6","3,614.1","-","-0.25%"
"2020년 11월 25일","3,629.6","3,635.5","3,635.5","3,617.8","-","-0.16%"
"2020년 11월 24일","3,635.4","3,594.5","3,642.3","3,594.5","-","1.62%"
"2020년 11월 23일","3,577.6","3,566.8","3,589.8","3,552.8","-","0.56%"
"2020년 11월 20일","3,557.5","3,579.3","3,581.2","3,556.9","-","-0.68%"
"2020년 11월 19일","3,581.9","3,559.4","3,585.2","3,543.8","-","0.39%"
"2020년 11월 18일","3,567.8","3,612.1","3,619.1","3,567.3","-","-1.16%"
"2020년 11월 17일","3,609.5","3,610.3","3,623.1","3,588.7","-","-0.48%"
"2020년 11월 16일","3,626.9","3,600.2","3,628.5","3,600.2","-","1.16%"
"2020년 11월 13일","3,585.1","3,552.6","3,593.7","3,552.6","-","1.36%"
"2020년 11월 12일","3,537.0","3,562.7","3,569.0","3,518.6","-","-1.00%"
"2020년 11월 11일","3,572.7","3,563.2","3,581.2","3,557.0","-","0.77%"
"2020년 11월 10일","3,545.5","3,543.3","3,557.2","3,511.9","-","-0.14%"
"2020년 11월 09일","3,550.5","3,583.0","3,646.0","3,547.5","-","1.17%"
"2020년 11월 06일","3,509.4","3,508.3","3,521.6","3,484.3","-","-0.03%"
"2020년 11월 05일","3,510.4","3,485.7","3,529.1","3,485.7","-","1.95%"
"2020년 11월 04일","3,443.4","3,406.5","3,486.3","3,405.2","-","2.20%"
"2020년 11월 03일","3,369.2","3,336.3","3,389.5","3,336.3","-","1.78%"
"2020년 11월 02일","3,310.2","3,296.2","3,330.1","3,279.7","-","1.23%"
"2020년 10월 30일","3,270.0","3,293.6","3,304.9","3,233.9","-","-1.21%"
"2020년 10월 29일","3,310.1","3,277.2","3,341.1","3,259.8","-","1.19%"
"2020년 10월 28일","3,271.0","3,342.5","3,342.5","3,268.9","-","-3.53%"
"2020년 10월 27일","3,390.7","3,403.1","3,409.5","3,388.7","-","-0.30%"
"2020년 10월 26일","3,401.0","3,441.4","3,441.4","3,364.9","-","-1.86%"
"2020년 10월 23일","3,465.4","3,464.9","3,466.5","3,440.4","-","0.34%"
"2020년 10월 22일","3,453.5","3,438.5","3,460.5","3,415.3","-","0.52%"
"2020년 10월 21일","3,435.6","3,439.9","3,464.9","3,433.1","-","-0.22%"
"2020년 10월 20일","3,443.1","3,439.4","3,476.9","3,435.6","-","0.47%"
"2020년 10월 19일","3,426.9","3,493.7","3,502.4","3,419.9","-","-1.63%"
"2020년 10월 16일","3,483.8","3,493.5","3,515.8","3,480.4","-","0.01%"
"2020년 10월 15일","3,483.3","3,453.7","3,489.1","3,440.9","-","-0.15%"
"2020년 10월 14일","3,488.7","3,515.5","3,527.9","3,480.6","-","-0.66%"
"2020년 10월 13일","3,511.9","3,534.0","3,534.0","3,500.9","-","-0.63%"
"2020년 10월 12일","3,534.2","3,500.0","3,549.9","3,499.6","-","1.64%"
"2020년 10월 09일","3,477.1","3,459.7","3,482.3","3,458.1","-","0.88%"
"2020년 10월 08일","3,446.8","3,434.3","3,447.3","3,428.1","-","0.80%"
"2020년 10월 07일","3,419.4","3,384.6","3,426.3","3,384.6","-","1.74%"
"2020년 10월 06일","3,360.9","3,408.7","3,431.6","3,354.5","-","-1.40%"
"2020년 10월 05일","3,408.6","3,367.3","3,409.6","3,367.3","-","1.80%"
"2020년 10월 02일","3,348.4","3,338.9","3,369.1","3,323.7","-","-0.96%"
"2020년 10월 01일","3,380.8","3,385.9","3,397.2","3,361.4","-","0.53%"
"2020년 09월 30일","3,363.0","3,341.2","3,393.6","3,340.5","-","0.83%"
"2020년 09월 29일","3,335.5","3,350.9","3,357.9","3,327.5","-","-0.48%"
"2020년 09월 28일","3,351.6","3,333.9","3,360.7","3,332.9","-","1.61%"
"2020년 09월 25일","3,298.5","3,236.7","3,306.9","3,228.4","-","1.60%"
"2020년 09월 24일","3,246.6","3,226.1","3,278.7","3,209.4","-","0.30%"
"2020년 09월 23일","3,236.9","3,320.1","3,323.4","3,232.6","-","-2.37%"
"2020년 09월 22일","3,315.6","3,295.8","3,320.3","3,270.9","-","1.05%"
"2020년 09월 21일","3,281.1","3,285.6","3,285.6","3,229.1","-","-1.16%"
"2020년 09월 18일","3,319.5","3,357.4","3,362.3","3,292.4","-","-1.12%"
"2020년 09월 17일","3,357.0","3,346.9","3,375.2","3,328.8","-","-0.84%"
"2020년 09월 16일","3,385.5","3,411.2","3,428.9","3,384.4","-","-0.46%"
"2020년 09월 15일","3,401.2","3,407.7","3,419.5","3,389.3","-","0.52%"
"2020년 09월 14일","3,383.5","3,363.6","3,402.9","3,363.6","-","1.27%"
"2020년 09월 11일","3,341.0","3,352.7","3,368.9","3,310.5","-","0.05%"
"2020년 09월 10일","3,339.2","3,412.6","3,425.6","3,329.3","-","-1.76%"
"2020년 09월 09일","3,399.0","3,369.8","3,424.8","3,366.8","-","2.01%"
"2020년 09월 08일","3,331.8","3,371.9","3,380.0","3,329.3","-","-3.14%"
"2020년 09월 07일","3,439.9","3,406.0","3,443.4","3,392.3","-","1.01%"
"2020년 09월 06일","3,405.4","3,414.8","3,421.3","3,382.0","-","-0.63%"
"2020년 09월 04일","3,427.0","3,453.6","3,479.1","3,349.6","-","-0.81%"
"2020년 09월 03일","3,455.1","3,564.7","3,564.9","3,427.4","-","-3.51%"
"2020년 09월 02일","3,580.8","3,543.8","3,588.1","3,535.2","-","1.54%"
"2020년 09월 01일","3,526.6","3,507.4","3,528.0","3,494.6","-","0.75%"
"2020년 08월 31일","3,500.3","3,509.7","3,514.8","3,493.3","-","-0.22%"
"2020년 08월 28일","3,508.0","3,494.7","3,509.2","3,484.3","-","0.67%"
"2020년 08월 27일","3,484.6","3,485.1","3,501.4","3,468.4","-","0.17%"
"2020년 08월 26일","3,478.7","3,450.0","3,481.1","3,444.1","-","1.02%"
"2020년 08월 25일","3,443.6","3,435.9","3,444.2","3,425.8","-","0.36%"
"2020년 08월 24일","3,431.3","3,418.1","3,432.1","3,413.1","-","1.00%"
"2020년 08월 21일","3,397.2","3,386.0","3,400.0","3,379.3","-","0.34%"
"2020년 08월 20일","3,385.5","3,360.5","3,390.8","3,354.7","-","0.32%"
"2020년 08월 19일","3,374.9","3,392.5","3,399.5","3,369.7","-","-0.44%"
"2020년 08월 18일","3,389.8","3,387.0","3,395.1","3,370.1","-","0.23%"
"2020년 08월 17일","3,382.0","3,380.9","3,387.6","3,379.2","-","0.27%"
"2020년 08월 14일","3,372.9","3,368.7","3,378.5","3,361.6","-","-0.02%"
"2020년 08월 13일","3,373.4","3,372.9","3,387.2","3,363.4","-","-0.20%"
"2020년 08월 12일","3,380.4","3,355.5","3,387.9","3,355.5","-","1.40%"
"2020년 08월 11일","3,333.7","3,370.3","3,381.0","3,326.4","-","-0.80%"
"2020년 08월 10일","3,360.5","3,356.0","3,363.3","3,335.4","-","0.27%"
"2020년 08월 07일","3,351.3","3,340.1","3,352.5","3,328.7","-","0.06%"
"2020년 08월 06일","3,349.2","3,323.2","3,351.0","3,318.1","-","0.64%"
"2020년 08월 05일","3,327.8","3,317.4","3,330.8","3,317.4","-","0.64%"
"2020년 08월 04일","3,306.5","3,289.9","3,306.8","3,286.4","-","0.36%"
"2020년 08월 03일","3,294.6","3,288.3","3,302.7","3,284.5","-","0.72%"
"2020년 07월 31일","3,271.1","3,270.4","3,272.2","3,220.3","-","0.77%"
"2020년 07월 30일","3,246.2","3,231.8","3,250.9","3,204.1","-","-0.38%"
"2020년 07월 29일","3,258.4","3,227.2","3,264.7","3,227.2","-","1.24%"
